"","X","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"1",1,"3M PHILIPPINES (EXPORT) INC.","3M EMEA GMBH","BE",1,"OTHERS",7016150,4275,1641.204678,"Belgium"
"2",2,"3M PHILS. INC.","3M COMPANY","US",1,"OTHERS",552085,1369,403.276114,"United States"
"3",3,"3M PHILS. INC.","3M SHANGHAI SPECIALTY","CN",1,"OTHERS",848969,1620,524.0549383,"China"
"4",4,"AB WEE ENTERPRISE","QUANZHOU WEISHENG IMP & EXP","CN",1,"GLUE",334181,2821,118.4618929,"China"
"5",5,"AB WEE ENTERPRISE","YIWU BAISHANG IMP & EXP CO","CN",1,"GLUE",285144,6607,43.15786287,"China"
"6",6,"ACASTILLO ENTERPRISES","AMERSEAL INDUSTRIAL SDN BHD","MY",1,"OTHERS",1489316,20417,72.94489886,"Malaysia"
"7",7,"ACASTILLO ENTERPRISES","ASTRANS (S) PTE LTD","SG",1,"OTHERS",388662,4560,85.23289474,"Singapore"
"8",8,"ACBEL POLYTECH PHILIPPINES INC.","GREAT GUM ENTERPRISE CO. LTD","TW",1,"ADHESIVE",2121300,39,54392.30769,"Taiwan"
"9",9,"ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS HK CO LTD","HK",1,"GLUE",276319,846,326.6182033,"Hong Kong SAR China"
"10",10,"ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS HK CO LTD","HK",1,"OTHERS",2300150,5997,383.5501084,"Hong Kong SAR China"
"11",11,"ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS H.K. CO LTD.","HK",1,"OTHERS",948719,3037,312.386895,"Hong Kong SAR China"
"12",12,"ACTICHEM MARKETING CORPORATION","MARCOR DEVELOPMENT CORP","US",1,"OTHERS",6449083,5000,1289.8166,"United States"
"13",13,"AGP CORPORATION","B&J ROCKET RASP","DK",1,"ADHESIVE",460207,2392,192.3942308,"Denmark"
"14",14,"AIR PHILIPPINES CORPORATION","AVIALL PTE LTD","SG",1,"OTHERS",343618,9,38179.77778,"Singapore"
"15",15,"AIR PHILIPPINES CORPORATION","BE AEROSPACE GLOBAL SERVICES","US",1,"OTHERS",314713,9,34968.11111,"United States"
"16",16,"AL RAMA GLOBAL TRADING CORP.","SHANDONG YUWANG ECOLOGICAL","CN",1,"PROTEIN",1418269,12500,113.46152,"China"
"17",17,"ALASKA MILK CORPORATION","LAKELAND DAIRIES LTD.","IE",1,"OTHERS",38973361,1e+05,389.73361,"Ireland"
"18",18,"ALASKA MILK CORPORATION","LAKELAND DAIRIES BAILIEBORO,CO","IE",1,"OTHERS",38972990,1e+05,389.7299,"Ireland"
"19",19,"ALDIZ INCORPORATED","FORCOM CORPORATION","TW",1,"OTHERS",1066935,1020,1046.014706,"Taiwan"
"20",20,"ALLEGRO MICROSYSTEMS PHILIPPINES","SUMITOMO BAKELITE SINGAPORE PTE LTD","SG",1,"OTHERS",3313441,196,16905.31122,"Singapore"
"21",21,"ALLEGRO MICROSYSTEMS PHILIPPINES","HENKEL TECHNOLOGIES (KOREA) LIMITED","KR",1,"OTHERS",7284934,746,9765.327078,"South Korea"
"22",22,"ALLEGRO MICROSYSTEMS PHILIPPINES","HENKEL ELECTRONIC MATERIAL LLC","US",1,"OTHERS",3948295,249,15856.60643,"United States"
"23",23,"ALLGEMEINE BAU CHEMIE PHIL INC","MOMENTIVE PERFORMANCE MATERIALS (TH","TH",1,"SEAL",6286084,28750,218.6464,"Thailand"
"24",24,"ALLKEY INTERNATIONAL INC.","SAMJI PROTECTIVE TAPE (CHINA)","CN",1,"TAPE",1694040,4357,388.8088134,"China"
"25",25,"ALLTECH BIOTECHNOLOGY CORP","CUSTOM FREIGHT SALES, INC.","US",1,"OTHERS",437784,1000,437.784,"United States"
"26",26,"ALLTECH BIOTECHNOLOGY CORP","ALLTECH BIOTECHNOLOGY CORP LTD","TH",1,"OTHERS",1864486,4500,414.3302222,"Thailand"
"27",27,"ALPLA PHILIPPINES INC","KRONES (THAILAND) CO., LTD.","TH",1,"OTHERS",1135337,2240,506.846875,"Thailand"
"28",28,"ALTERNATIVES FOOD CORP","QINGDAO LANKANG INTERNATIONAL CO.,","TR",1,"PROTEIN",16197150,3e+05,53.9905,"Turkey"
"29",29,"ALTERNATIVES FOOD CORP","SCANFLAVOUR A/S","DK",1,"PROTEIN",1956537,44000,44.46675,"Denmark"
"30",30,"ALTERNATIVES FOOD CORP","WENDA CO., LTD.","CN",1,"OTHERS",5808453,8000,726.056625,"China"
"31",31,"ALUACE CORPORATION","SHANGHAI JOYFLY IMP & EXP CO., LTD","CN",1,"SEAL",1006570,2256,446.1746454,"China"
"32",32,"ALUACE CORPORATION","GUANGZHOU BAIYUN CHEMICAL INDUSTRY","CN",1,"SEAL",3673069,14789,248.3649334,"China"
"33",33,"AMERTRON INC.","UNITED RESIN CORPORATION","US",1,"ADHESIVE",676973,169,4005.757396,"United States"
"34",34,"AMERTRON INC.","MATERIAL TECHNOLOGY PTE LTD","SG",1,"ADHESIVE",1546757,103,15017.05825,"Singapore"
"35",35,"AMERTRON INC.","SOL EPOXY INC.,","US",1,"ADHESIVE",733274,293,2502.641638,"United States"
"36",36,"AMERTRON INCORPORATED","KYOEI DENKI PTE LTD.","SG",1,"OTHERS",1137341,262,4340.996183,"Singapore"
"37",37,"AMERTRON INCORPORATED","MATERIAL TECHNOLOGY PTE LTD.","SG",1,"OTHERS",2136166,64,33377.59375,"Singapore"
"38",38,"AMERTRON INCORPORATED","SOL EPOXY INC.","US",1,"EPOXY",895873,318,2817.210692,"United States"
"39",39,"AMERTRON INCORPORATED","SUMITOMO METAL MINING CO LTD.","JP",1,"EPOXY",1278046,161,7938.173913,"Japan"
"40",40,"AMPLEON PHILIPPINES INC","HENKEL ELECTRONIC MATERIALS","US",1,"OTHERS",1585808,28,56636,"United States"
"41",41,"ANALOG DEVICES PHILIPPINES INC","HENKEL ELECTRONIC MATERIALS","US",1,"OTHERS",876738,17,51572.82353,"United States"
"42",42,"ANALOG DEVICES PHILIPPINES INC","HENKEL ELECTRONIC MATERIALS","US",1,"ADHESIVE",879075,18,48837.5,"United States"
"43",43,"ANGELES ALLIANCE LEATHERWARE INC.","DINGZING ADVANCED MATERIALS INCORPO","TW",1,"ADHESIVE",1898336,2482,764.8412571,"Taiwan"
"44",44,"AP MAGNA CHEM DISTRIBUTION CORP.","CHEM-BASE (NANTONG) LABORATORI","CN",1,"OTHERS",2923764,25000,116.95056,"China"
"45",45,"AP MAGNA CHEM DISTRIBUTION CORP.","THANH VU JOINT STOCK CO.","VN",1,"MODIFIED STARCH",3512333,108000,32.52160185,"Vietnam"
"46",46,"AP MAGNA CHEM DISTRIBUTION CORP.","JIANGSU ZHAOJIA MATERIALS TECHNOLOG","CN",1,"OTHERS",2213292,26000,85.12661538,"China"
"47",47,"APF CORPORATION","BEIJING SMILE FEED SCI & TECH","CN",1,"ENZYMES",275457,3000,91.819,"China"
"48",48,"APM TECHNICA AG","EPOXY TECHNOLOGY","US",1,"ADHESIVE",389035,35,11115.28571,"United States"
"49",49,"ASCO MARKETING CORPORATION","BOUWHUIS ENTHOVEN B. V.","NL",1,"OTHERS",2548177,5000,509.6354,"Netherlands"
"50",50,"ASIAN SPORTS APPAREL PHILIPPINES","FWUJI RESINS CHEMICAL INDUSTRY","TW",1,"ADHESIVE",3734944,19547,191.0750499,"Taiwan"
"51",51,"ASTEC POWER PHILIPPINES INC","HENKEL MALAYSIA SDN BHD","MY",1,"ADHESIVE",1536644,480,3201.341667,"Malaysia"
"52",52,"ASTEC POWER PHILIPPINES INC","ASTEC INTERNATIONAL LTD","HK",1,"GLUE",440230,389,1131.696658,"Hong Kong SAR China"
"53",53,"ASTEC POWER PHILIPPINES INC","U-BOND SPECIALTY CHEMICAL MATERIAL","HK",1,"EPOXY",436822,472,925.470339,"Hong Kong SAR China"
"54",54,"ASTEC POWER PHILIPPINES INC","WINNER HI-TECH LIMITED","JP",1,"EPOXY",368804,44,8381.909091,"Japan"
"55",55,"AUTOLIV CEBU SAFETY MANUFACTURING","SIKA AUTOMOTIVE GMBH","DE",1,"OTHERS",1589878,5210,305.1589251,"Germany"
"56",56,"AUTOMATED TECHNOLOGY (PHIL) INC.","SENCIO B V","NL",1,"ADHESIVE",404954,62,6531.516129,"Netherlands"
"57",57,"AUTOMATED TECHNOLOGY (PHIL) INC.","HERAEUS ROMANIA SRL","RO",1,"OTHERS",564333,105,5374.6,"Romania"
"58",58,"B/E AEROSPACE B.V. - (PHIL BRANCH)","KLX AEROSPACE","US",1,"ADHESIVE",1684250,975,1727.435897,"United States"
"59",59,"B/E AEROSPACE B.V. - (PHIL BRANCH)","MANKIEWICZ GEBR CO","DE",1,"OTHERS",1594404,2527,630.9473684,"Germany"
"60",60,"B/E AEROSPACE B.V. - (PHIL BRANCH)","MAGNOLIA ADVANCED MATERIALS INC","US",1,"OTHERS",2004032,656,3054.926829,"United States"
"61",61,"B/E AEROSPACE B.V. - (PHIL BRANCH)","CYCTEC ENGINEERED MATERIALS","GB",1,"OTHERS",5986449,5737,1043.480739,"United Kingdom"
"62",62,"B/E AEROSPACE B.V. - (PHIL BRANCH)","CYTEC ENGINEERING MATERIALS","GB",1,"OTHERS",5818900,5525,1053.19457,"United Kingdom"
"63",63,"BAG ELECTRONICS INC.","NIHON SUPERIOR CO.,LTD","JP",1,"ADHESIVE",289612,28,10343.28571,"Japan"
"64",64,"BARENTZ PHILIPPINES INC.","NOVOZYMES MALAYSIA SDN BHD","MY",1,"ENZYMES",826800,240,3445,"Malaysia"
"65",65,"BASF PHILIPPINES INC","BASF MALAYSIA SDN BHD","MY",1,"SEAL",286270,26125,10.95770335,"Malaysia"
"66",66,"BASF PHILIPPINES INC","PT BASF DISTRIBUTION INDONESIA","ID",1,"SEAL",334823,19800,16.91025253,"Indonesia"
"67",67,"BASF PHILIPPINES INC","BASF CORPORATION","US",1,"GLUE",393169,667,589.4587706,"United States"
"68",68,"BATAAN 2020 INC.","NATIONAL STARCH AND CHEMICAL (","TH",1,"MODIFIED STARCH",529322,16000,33.082625,"Thailand"
"69",69,"BATAAN 2020 INC.","SMS CORPORATION CO., LTD","TH",1,"MODIFIED STARCH",540334,17000,31.78435294,"Thailand"
"70",70,"BATAAN 2020 INC.","NATIONAL STARCH AND CHEMICAL (THAIL","TH",1,"MODIFIED STARCH",1680406,46250,36.3331027,"Thailand"
"71",71,"BAYER PHILIPPINES INCORPORATED","ADISSEO ASIA PACIFIC PTE LTD","SG",1,"OTHERS",15708035,30000,523.6011667,"Singapore"
"72",72,"BESTELEMENT INDUSTRIAL LTD INC","ZHANG ZHOU TREAD BEST IND. CO. LTD.","CN",1,"ADHESIVE",1794162,2235,802.757047,"China"
"73",73,"BORAL PLASTERBOARD PHILIPPINES INC.","USG INTERIORS (FAR EAST) SDN B","MY",1,"OTHERS",1049319,61824,16.97268051,"Malaysia"
"74",74,"BORAL PLASTERBOARD PHILIPPINES INC.","USG BORAL SDN BHD","MY",1,"OTHERS",2594648,163955,15.82536672,"Malaysia"
"75",75,"BOSTIK PHILIPPINES INC.","BOSTIK INHDIA PRIVATE LIMITED","IN",1,"ADHESIVE",2315452,17775,130.2645288,"India"
"76",76,"BOSTIK PHILIPPINES INC.","BOSTIK INDIA PRIVATE LIMITED","IN",1,"OTHERS",2378060,18000,132.1144444,"India"
"77",77,"BOSTIK PHILIPPINES INC.","JIANGSU BOSTIK ADHESIVE CO. LTD","CN",1,"OTHERS",1366256,10000,136.6256,"China"
"78",78,"BOSTIK PHILIPPINES INC.","BOSTIK AUSTRALIA PTY LTD","AU",1,"OTHERS",1820830,8295,219.509343,"Australia"
"79",79,"BOSTIK PHILIPPINES INC.","BOSTIK AUSTRALIA PTY LTD","AU",1,"ADHESIVE",1892277,9216,205.3251953,"Australia"
"80",80,"BOSTIK PHILIPPINES INC.","JIANGSU BOSTIK ADHESIVE CO. LTD","CN",1,"ADHESIVE",3586664,15200,235.9647368,"China"
"81",81,"BOSTIK PHILIPPINES INC.","POLYCOAT PRODUCTS","US",1,"SEAL",10007471,76736,130.4142906,"United States"
"82",82,"BOUNTY FRESH FOODS INC","BIOCHEM ZUSATZSTOFFE HANDELS","DE",1,"OTHERS",4030802,40000,100.77005,"Germany"
"83",83,"BRENNTAG INGREDIENTS INC.","ROQUETTE ITALIA SPA","IT",1,"OTHERS",3463415,57000,60.76166667,"Italy"
"84",84,"BRENNTAG INGREDIENTS INC.","DUPONT NUTRITION BIOSCIENCES","DK",1,"OTHERS",2508463,3640,689.1381868,"Denmark"
"85",85,"BRENNTAG INGREDIENTS INC.","ROQUETTE FRERES","FR",1,"OTHERS",749124,2000,374.562,"France"
"86",86,"BRIGHT GOAL TRADING","ADITYA BIRLA CHEMICAL (THAILAND) LT","TW",1,"EPOXY",715210,18800,38.04308511,"Taiwan"
"87",87,"BRIGHT GOAL TRADING","KUKDO CHEMICAL CO.,LTD","KR",1,"EPOXY",683033,17600,38.80869318,"South Korea"
"88",88,"BUILDER'S CHOICE INC.","SHANGHAI NATURE BUILDING MATERIALS","CN",1,"OTHERS",303785,3220,94.3431677,"China"
"89",89,"BULWARK EQUIPMENT PARTSHOUSE INC","FLOOR CHEM ASIA CO., LTD","TH",1,"OTHERS",2535829,32040,79.14572409,"Thailand"
"90",90,"CARGILL TEXTURIZING SOLUTIONS","CARGILL INCORPORATED","US",1,"STARCH",1195133,15876,75.27922651,"United States"
"91",91,"CATHAY INDUSTRIAL & MILL SUPPLY INC","PHOENIX CONVEYOR BELT SYSTEMS","DE",1,"OTHERS",417131,183,2279.404372,"Germany"
"92",92,"CEBU EVERGREEN INDUSTRIES INC.","DRYVIT SYSTEM INC.","US",1,"OTHERS",1200070,17480,68.65389016,"United States"
"93",93,"CEBU FURNITECH MARKETING INC.","MIROTONE (THAILAND) CO., LTD.","TH",1,"OTHERS",784910,7701,101.9231269,"Thailand"
"94",94,"CEBU MITSUMI INC.","MITSUMI ELECTRIC CO.,LTD.","JP",1,"OTHERS",1775693,25,71027.72,"Japan"
"95",95,"CEBU MITSUMI INC.","OHMIYA CORPORATION","JP",1,"OTHERS",911466,2796,325.9892704,"Japan"
"96",96,"CEMEDINE PHILIPPINES CORP","MITSUBISHI CORPORATION","JP",1,"OTHERS",3365119,14400,233.6888194,"Japan"
"97",97,"CENTURY LIMITLESS CORPORATION","CHANGZHOU SENSSE IMP & EXP CO. LTD","CN",1,"ADHESIVE",327054,2400,136.2725,"China"
"98",98,"CEPRE INTERNATIONAL TRADING","GUANGDONG OLIVIA CHEMICAL INDU","CN",1,"SEAL",535090,15688,34.10823559,"China"
"99",99,"CHIYODA PHILIPPINES MANUFACTURING","CHIYODA MANUFACTURING CORP","JP",1,"OTHERS",583251,366,1593.581967,"Japan"
"100",100,"CHOEI PLASTIC WORLD PHILIPPINES INC","PLASTIC WORLD (CHINA) LTD","HK",1,"OTHERS",982108,19000,51.68989474,"Hong Kong SAR China"
"101",101,"CHOOSEYOURSHOES PHILIPPINES(CYS-PH)","RENIA-GESELLSCHAFT MBH","DE",1,"ADHESIVE",776141,2196,353.4339709,"Germany"
"102",102,"CIRTEK ELECTRONICS CORPORATION","CIRTEK SEMICONDUCTOR INC.","US",1,"ADHESIVE",1359720,59,23046.10169,"United States"
"103",103,"CLAYMOUNT ASSEMBLIES PHILS INC","INTERVRACHT NEDERLAND","NL",1,"OTHERS",447816,256,1749.28125,"Netherlands"
"104",104,"COFTA MOULDINGS CORPORATION","PAPCOR (DEZHOU)PACKAGING MATERIALS","CN",1,"ADHESIVE",702366,18000,39.02033333,"China"
"105",105,"COMGLASCO AGUILA GLASS CORPORATION","AL MUQARRAM INSULATION MAT IND.LLC","SA",1,"SEAL",722247,14478,49.88582677,"Saudi Arabia"
"106",106,"COMMODITY QUEST INC.","DEZHOU RUI KANG BIO TECHNOLOGY","CN",1,"PROTEIN",11510658,1e+05,115.10658,"China"
"107",107,"COMMODITY QUEST INC.","DEZHOU RUIKANG FOOD CO., LTD","CN",1,"PROTEIN",10760068,1e+05,107.60068,"China"
"108",108,"COMMODITY QUEST INC.","VEOS NV","BE",1,"PROTEIN",1770648,11000,160.968,"Belgium"
"109",109,"CONCORD SCIENTIFIC & CHEMICAL CORP","TAPIOCA DEVELOPMENT CORP. LTD.","TH",1,"MODIFIED STARCH",727549,15000,48.50326667,"Thailand"
"110",110,"CONNELL BROS. COMPANY PILIPINAS INC","BHJ A/S","BE",1,"OTHERS",385218,1000,385.218,"Belgium"
"111",111,"CONSOLIDATED ADHESIVES INC","ADTEK MALAYSIA SDN BHD","MY",1,"GLUE",2597309,17000,152.7828824,"Malaysia"
"112",112,"CONTINENTAL PACIFIC AGRITRADE CORP.","ECOLAB PTY LTD","AU",1,"OTHERS",443064,1605,276.0523364,"Australia"
"113",113,"CONTINENTAL TEMIC ELECTRONICS PHILS","DOW CORNING","US",1,"ADHESIVE",345860,273,1266.886447,"United States"
"114",114,"CONVERGE INFORMATION AND COMMUNICAT","YANGTZE OPTICAL FIBRE AND CABL","CN",1,"EPOXY",260459,121,2152.553719,"China"
"115",115,"CORBOX CORPORATION","CHUEN HUAH CHEMICAL CO LTD","TW",1,"STARCH",584264,14750,39.61111864,"Taiwan"
"116",116,"CORNELL INGREDIENTS CORPORATION","GENERAL STARCH LIMITED","TH",1,"MODIFIED STARCH",4009551,1e+05,40.09551,"Thailand"
"117",117,"CORNELL INGREDIENTS CORPORATION","ROQUETTE ITALIA SPA","IT",1,"MODIFIED STARCH",4965335,1e+05,49.65335,"Italy"
"118",118,"CORONATION PREMIUM MFG. INC.","DONGGUAN OULIAN SUPPLY CHAIN","CN",1,"GLUE",565398,1142,495.0945709,"China"
"119",119,"CROWN SUPPLY CORP","A.W. FABER CASTELL (M) SDN BHD","MY",1,"ADHESIVE",271723,614,442.5456026,"Malaysia"
"120",120,"DAESANG RICOR CORPORATION","GENENOR (CHINA) BIO-PRODUCTS CO., L","CN",1,"OTHERS",1194085,7664,155.8044102,"China"
"121",121,"DALKIA INCORPORATED","SILMATE SILICONE CO., LIMITED","CN",1,"SEAL",725844,2540,285.7653543,"China"
"122",122,"DAVAO FIBREBOARD PACKAGING PLANT","CHUEN HUAH CHEMICAL CO., LTD","TW",1,"STARCH",1287077,15960,80.64392231,"Taiwan"
"123",123,"DEL MONTE PHILS INC. / PHILPACK","GENERAL STARCH LIMITED","TH",1,"MODIFIED STARCH",2267961,57000,39.78878947,"Thailand"
"124",124,"DEL MONTE PHILS INC. / PHILPACK","CARGILL BIO CHEMICAL CO LTD","CN",1,"OTHERS",7962436,179400,44.38370123,"China"
"125",125,"DEL MONTE PHILS INC. / PHILPACK","AB ENZYMESS GMBH","SG",1,"ENZYMES",1598025,3000,532.675,"Singapore"
"126",126,"DESK TOP BAGS PHILIPPINES INC.","GOLDEN COMPANY LIMITED","VN",1,"OTHERS",361021,219,1648.497717,"Vietnam"
"127",127,"DESK TOP BAGS PHILIPPINES INC.","LUEN THAI FOOTWEAR MACAO COMMERCIAL","HK",1,"GLUE",641769,1843,348.2197504,"Hong Kong SAR China"
"128",128,"DESK TOP BAGS PHILIPPINES INC.","LUEN THAI FOOTWEAR MACAO","HK",1,"OTHERS",893942,1090,820.1302752,"Hong Kong SAR China"
"129",129,"DESK TOP BAGS PHILIPPINES INC.","LUEN THAI FOOTWEAR MACAO","HK",1,"GLUE",985253,1108,889.217509,"Hong Kong SAR China"
"130",130,"DIAMOND DRY MORTAR INC.","AALBORG PORTLAND MALAYSIA SDN","MY",1,"OTHERS",338687,49150,6.890885046,"Malaysia"
"131",131,"DIAMOND DRY MORTAR INC.","AALBORG PORTLAND MALAYSIA SDN BHD","MY",1,"OTHERS",590058,96000,6.1464375,"Malaysia"
"132",132,"DIGEE GLASS & ALUMINUM CO","GAUNGZHOU BAIYUN CHEM IND CO LTD","CN",1,"SEAL",630747,1939,325.2949974,"China"
"133",133,"DKSH PHILIPPINES INC.","ARCHER DANIELS MIDLAND CO.","US",1,"PROTEIN",413118,2000,206.559,"United States"
"134",134,"DLX BAGS PHILIPPINES INC","LUEN THAI FOOTWEAR MACAU COMMERCIAL","HK",1,"GLUE",790493,6006,131.6172161,"Hong Kong SAR China"
"135",135,"DPO  PHILIPPINES  INC.","BENEO-REMY","BE",1,"STARCH",932645,8250,113.0478788,"Belgium"
"136",136,"DUTCH BLUE SEA ENTERPRISES","SHENZHEN WAN YU TRADE CO., LTD","CN",1,"GLUE",1075863,17537,61.34817814,"China"
"137",137,"DUTCH BLUE SEA ENTERPRISES","DOW CORNING KOREA LTD","KR",1,"SEAL",3121369,44793,69.68430335,"South Korea"
"138",138,"DUTCH BLUE SEA ENTERPRISES","DOW CORNING KOREA LTD.","KR",1,"SEAL",775247,11737,66.05154639,"South Korea"
"139",139,"DYSON ELECTRONICS PTE LTD PH BRANCH","MGY TECHNOLOGY CO.  LTD.","TW",1,"ADHESIVE",1372106,95,14443.22105,"Taiwan"
"140",140,"DYSON ELECTRONICS PTE LTD PH BRANCH","VITROCHEM TECHNOLOGY PTE LTD","SG",1,"ADHESIVE",11728959,4580,2560.908079,"Singapore"
"141",141,"DYSON ELECTRONICS PTE LTD PH BRANCH","HENKEL SINGAPORE PTE LTD","SG",1,"ADHESIVE",4476321,425,10532.52,"Singapore"
"142",142,"DYSON ELECTRONICS PTE LTD PH BRANCH","MGY TECHNOLOGY CO.  LTD.","JP",1,"ADHESIVE",820519,57,14395.07018,"Japan"
"143",143,"DYSON ELECTRONICS PTE LTD PH BRANCH","CREST ULTRASONICS S PTE LTD","SG",1,"OTHERS",342207,14,24443.35714,"Singapore"
"144",144,"EASY BIO PHILIPPINES INC.","EASY BIO INC","KR",1,"OTHERS",3457653,17000,203.3913529,"South Korea"
"145",145,"EATON INDUSTRIES PHILIPPINES LLC","LIAN ZHENG ELECTRONICS SHENZHEN CO","CN",1,"ADHESIVE",466485,1949,239.3458184,"China"
"146",146,"EATON INDUSTRIES PHILIPPINES LLC","LIAN ZHENG ELECTROBNICS SHENZHEN CO","CN",1,"ADHESIVE",269221,500,538.442,"China"
"147",147,"EATON INDUSTRIES PHILIPPINES LLC P","EPOXYSET INC","US",1,"ADHESIVE",6490875,1377,4713.779956,"United States"
"148",148,"EC STRUCTURAL COMPOSITES INC","Fyfe Asia PTE ltd","SG",1,"EPOXY",1753997,5878,298.4003062,"Singapore"
"149",149,"EDWARD KELLER (PHILIPPINES) INC.","CARGILL DEUTSCHLAND GMBH","DE",1,"STARCH",1240329,18000,68.90716667,"Germany"
"150",150,"EDWARD KELLER (PHILIPPINES) INC.","PB LEINER ARGENTINA SA","AR",1,"GELATIN",6420831,20000,321.04155,"Argentina"
"151",151,"ELEMATEC ANGELES INC.","ELEMATEC CORPORATION","JP",1,"EPOXY",2013008,1888,1066.211864,"Japan"
"152",152,"ELEMATEC PHILIPPINES INC","ELEMATEC CORPORATION","JP",1,"ADHESIVE",4140591,1095,3781.361644,"Japan"
"153",153,"ELEMATEC PHILIPPINES INC","ASEC CO., LTD.","TW",1,"ADHESIVE",3769488,230,16389.07826,"Taiwan"
"154",154,"ELEMATEC PHILIPPINES INC","ELEMATEC CORPORATION","JP",1,"OTHERS",3252648,1196,2719.605351,"Japan"
"155",155,"ENGEL ANLAGEN TECHNIK PHILS. INC.","TH SCHOLTEN GMBH & CO KG","DE",1,"ADHESIVE",1037012,891,1163.874299,"Germany"
"156",156,"EPSON PRECISION(PHILIPPINES) INC.","HITACHI CHEMICAL CO., LTD.","JP",1,"OTHERS",550013,15,36667.53333,"Japan"
"157",157,"ERCM PRODUCTS INTERNATIONAL INC.","CHUEN HUAH CHEMICAL CO LTD","TW",1,"OTHERS",815836,10800,75.54037037,"Taiwan"
"158",158,"ESP PRINTERS INC","HANGZHOU KAIMIKU IMP & EXP","CN",1,"GLUE",2215356,17000,130.3150588,"China"
"159",159,"EUNICE INC.","KELISEMA SRL","IT",1,"OTHERS",563402,635,887.2472441,"Italy"
"160",160,"EUNICE INC.","ALISPED S.P.A","IT",1,"OTHERS",2152214,3200,672.566875,"Italy"
"161",161,"EUROASIA MARBLE AND GRANITE INC","XIAMEN ASPIRASTONE IMPORT AND EXPOR","CN",1,"GLUE",541514,2340,231.4162393,"China"
"162",162,"EXCELLENT TEXSCREENERS INC.","DING YI PRINTING CO LTD","CN",1,"OTHERS",3340370,4572,730.6146107,"China"
"163",163,"FABCON PHILS. INC.","CATALYSTS BIOTECHNOLOGIES PVT","IN",1,"OTHERS",1397542,2000,698.771,"India"
"164",164,"FAIRCHILD SEMICONDUCTOR (PHILS) INC","ABLESTIK (SHANGHAI)LTD","CN",1,"OTHERS",4028305,359,11220.90529,"China"
"165",165,"FAIRCHILD SEMICONDUCTOR (PHILS) INC","HENKEL ELECTRONIC MATERIAL LLC","US",1,"OTHERS",405204,56,7235.785714,"United States"
"166",166,"FAIRCHILD SEMICONDUCTOR (PHILS) INC","U-OCEAN EXPRESS PTE LTD.","SG",1,"OTHERS",5028185,3351,1500.502835,"Singapore"
"167",167,"FASTWORTH MARKETING","SUNG DO CHEMICAL CO LTD","KR",1,"ADHESIVE",909978,21000,43.33228571,"South Korea"
"168",168,"FIBERWORLD INC.","RUGAO JAOUR ADHESIVE PRODUCT","CN",1,"ADHESIVE",5237557,50000,104.75114,"China"
"169",169,"FILSPIN INCORPORATED","TAPIOCA DEVELOPMENT CORP., LTD","TH",1,"MODIFIED STARCH",718693,20000,35.93465,"Thailand"
"170",170,"FISCHER PH ASIA INC","FISCHERWERKE GMBH AND CO.KG","DE",1,"OTHERS",409039,1275,320.814902,"Germany"
"171",171,"FISCHER PH ASIA INC","FISCHERWERKE GMBH & CO KG","DE",1,"OTHERS",2709720,6902,392.5992466,"Germany"
"172",172,"FISCHER PH ASIA INC","FISCHERWERKE GMBH & CO KG","DE",1,"EPOXY",3674462,4692,783.1334186,"Germany"
"173",173,"FLAVORCREST INTERNATIONAL CORPORATI","VRS FOODS LIMITED","IN",1,"OTHERS",8620607,25000,344.82428,"India"
"174",174,"FLEXIBLE PACKAGING PRODUCTS CORP.","TOYO-MORTON LTD","JP",1,"ADHESIVE",5222956,32000,163.217375,"Japan"
"175",175,"FLEXO MANUFACTURING CORPORATION","BENORE LOGISTICS","US",1,"OTHERS",3777702,9988,378.2240689,"United States"
"176",176,"FLOORSTONE INC","CONVERGENT CONCRETE TECHNOLO","US",1,"SEAL",3670130,8996,407.9735438,"United States"
"177",177,"FLOWTECH INDUSTRIAL SALES INC","ALL STATE LOGISTICS, INC","US",1,"SEAL",1789745,20000,89.48725,"United States"
"178",178,"FORHOUSTON INTERNATIONAL CORP","ROHM AND HAAS PTE LTD","SG",1,"ADHESIVE",908561,23826,38.13317384,"Singapore"
"179",179,"FRABELLE CORPORATION","SOLAE TRADING (SHANGHAI) CO.","CN",1,"PROTEIN",5850338,36000,162.5093889,"China"
"180",180,"FRABELLE CORPORATION","SHANDONG GAOTANG LANSHAN","CN",1,"PROTEIN",2474025,22000,112.4556818,"China"
"181",181,"FRABELLE CORPORATION","SOLAE TRADING CO LTD","CN",1,"PROTEIN",3012940,18000,167.3855556,"China"
"182",182,"FRABELLE CORPORATION","SHANDONG GAOTANG LANSHAN IMPORT AND","CN",1,"PROTEIN",5134977,44000,116.7040227,"China"
"183",183,"FRUNKPORT ENTERPRISES","YIWU XUZHAN IMP & EXP CO., LTD","CN",1,"GLUE",320910,5712,56.18172269,"China"
"184",184,"FUNAI ELECTRIC CEBU INC.","ENGINEERED MATERIAL SYSTEM INC./ EM","US",1,"ADHESIVE",744338,65,11451.35385,"United States"
