"","X","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"3135",3135,"MEGA SOFT HYGIENIC PRODUCTS INC.","SHENZHEN GUI HAO CHENG TRADE","CN",7,"ADHESIVE",10304183,148875,69.21365575,"China"
"3136",3136,"J-CHANNEL INGREDIENTS CORPORATION","TONGAAT HULETT STARCH (PTY) LTD.","ZA",7,"STARCH",8132423,259200,31.37508873,"South Africa"
"3137",3137,"HAMBURG TRADING CORPORATION","CARGILL DEUTSCHLAND GMBH","DE",7,"OTHERS",3410551,72000,47.36876389,"Germany"
"3138",3138,"JEBSEN & JESSEN INGREDIENTS (P) INC","VEDAN (VIETNAM) ENTERPRISE CORP LTD","VN",7,"MODIFIED STARCH",3643281,90000,40.4809,"Vietnam"
"3139",3139,"DEL MONTE PHILS INC. / PHILPACK","GENERAL STARCH LIMITED","TH",7,"MODIFIED STARCH",4372318,1e+05,43.72318,"Thailand"
"3140",3140,"JEBSEN & JESSEN INGREDIENTS (P) INC","VEDAN ( VIETNAM ) ENTERPRISE CORP L","VN",7,"MODIFIED STARCH",4404273,108000,40.78030556,"Vietnam"
"3141",3141,"ACASTILLO ENTERPRISES","IMPIANA INDUSTRIES SDN BHD","MY",7,"ADHESIVE",625016,6994,89.36459823,"Malaysia"
"3142",3142,"HMR PHILIPPINES INC","DGL INTERNATIONAL (MALAYSIA)","MY",7,"OTHERS",1236323,30758,40.19516874,"Malaysia"
"3143",3143,"CENTURY PACIFIC FOOD INC.","GENERAL STARCH LIMITED","TH",7,"MODIFIED STARCH",892354,20000,44.6177,"Thailand"
"3144",3144,"3M PHILS. INC.","3M EMEA GMBH","CH",7,"OTHERS",786200,540,1455.925926,"Switzerland"
"3145",3145,"ERCM PRODUCTS INTERNATIONAL INC.","CHUEN HUAH CHEMICAL CO., LTD","CN",7,"OTHERS",921679,12000,76.80658333,"China"
"3146",3146,"EDWARD KELLER (PHILS.) INC.","CARGILL DEUTSCHLAND GMBH","DE",7,"STARCH",1258795,18000,69.93305556,"Germany"
"3147",3147,"SCAD SERVICES (S) PTE. LTD. - PHIL","HRD SINGAPORE PTE LTD","JP",7,"ADHESIVE",4603433,25569,180.0396183,"Japan"
"3148",3148,"MAHLE FILTER SYSTEMS PHILS. CORP.","MAHLE FILTER SYSTEMS JAPAN CORPORAT","JP",7,"ADHESIVE",1570571,9521,164.9586178,"Japan"
"3149",3149,"DYSON ELECTRONICS PTE LTD PH BRANCH","VITROCHEM TECHNOLOGY PTE LTD","SG",7,"ADHESIVE",6159799,1650,3733.211515,"Singapore"
"3150",3150,"SAN TECHNOLOGY INCORPORATED","CORAL SERVICE CORP.","JP",7,"ADHESIVE",856613,752,1139.113032,"Japan"
"3151",3151,"BREN99INTERFACE TRADING","RECTORSEAL CORP.","US",7,"ADHESIVE",306457,3390,90.40029499,"United States"
"3152",3152,"TEMIC AUTOMOTIVE (PHILS.) INC.","DOW EUROPE GMBH C/O DSV LOGISTICS","BE",7,"ADHESIVE",336743,480,701.5479167,"Belgium"
"3153",3153,"FLEXIBLE PACKAGING PRODUCTS CORP.","TOYO-MORTON LTD","JP",7,"ADHESIVE",5700134,32000,178.1291875,"Japan"
"3154",3154,"YAZAKI-TORRES MANUFACTURING INC.","YAZAKI  CORPORATION","JP",7,"ADHESIVE",5027547,4186,1201.038462,"Japan"
"3155",3155,"DLX BAGS PHILIPPINES INC","DA RONG LIMITED OFFICE","VN",7,"ADHESIVE",3436109,16762,204.9939745,"Vietnam"
"3156",3156,"PAREXGROUP INC.","EMFI SAS","NL",7,"ADHESIVE",6095050,33523,181.8169615,"Netherlands"
"3157",3157,"NAN PAO RESINS CHEMICAL PHILIPPINES","EASTLION ENTERPRISES LTD","CN",7,"ADHESIVE",19094027,142250,134.2286608,"China"
"3158",3158,"H.B FULLER (PHILIPPINES) INC.","H. B. FULLER (CHINA) ADHESIVES LTD.","CN",7,"ADHESIVE",16081713,92540,173.7812081,"China"
"3159",3159,"ALLTECH BIOTECHNOLOGY CORP","ALLTECH BIOTECHNOLOGY CORP LTD","TH",7,"OTHERS",3385061,7500,451.3414667,"Thailand"
"3160",3160,"SAN MIGUEL MILLS INC","MUEHLENCHEMIE GMBH & CO. KG","DE",7,"OTHERS",1254276,800,1567.845,"Germany"
"3161",3161,"PHILIPPINE FOREMOST MILLING","MUEHLENCHEMIE GMBH & CO. KG","DE",7,"OTHERS",1027404,2250,456.624,"Germany"
"3162",3162,"SAN MIGUEL BREWERY INC.","GENENCOR INTERNATIONAL B.V","NL",7,"OTHERS",1721955,7168,240.2280971,"Netherlands"
"3163",3163,"YAZAKI-TORRES MANUFACTURING INC.","YAZAKI  CORPORATION","JP",7,"SEAL",1397719,1172,1192.593003,"Japan"
"3164",3164,"FOOD INDUSTRIES INC.","INGREDION INC.","US",7,"MODIFIED STARCH",1926174,18387,104.7573829,"United States"
"3165",3165,"INGREDION PHILIPPINES INC.","INGREDION INC 5 WESTBROOK","US",7,"OTHERS",3747708,49887,75.1239401,"United States"
"3166",3166,"STT PHILIPPINES INC","ELKEM SILICONES SHANGHAI CO.,","CN",7,"OTHERS",13617998,24000,567.4165833,"China"
"3167",3167,"FD COIL PHILIPPINES INC.","FURUKAWA DENSHI CO., LTD.","JP",7,"OTHERS",2851382,480,5940.379167,"Japan"
"3168",3168,"PIONEER ADHESIVES INC.","SOUDAL YAPI KIMYASALLARI SAN.","TR",7,"SEAL",1850708,18124,102.1136614,"Turkey"
"3169",3169,"PIONEER ADHESIVES INC.","SOUDAL LIMITED","CN",7,"SEAL",11474867,41730,274.9788402,"China"
"3170",3170,"CRO MAGNON CORPORATION","ITW PP&F KOREA LTD","KR",7,"OTHERS",661494,1405,470.8142349,"South Korea"
"3171",3171,"CARGILL TEXTURIZING SOLUTIONS","CARGILL DEUTSCHLAND GMBH","BE",7,"STARCH",2186664,14850,147.250101,"Belgium"
"3172",3172,"HAMBURG TRADING CORPORATION","CARGILL BIO-CHEMICAL CO LTD","CN",7,"STARCH",1484132,37500,39.57685333,"China"
"3173",3173,"HAMBURG TRADING CORPORATION","CARGILL DEUTSCHLAND GMBH","NL",7,"STARCH",2503473,51000,49.08770588,"Netherlands"
"3174",3174,"HAMBURG TRADING CORPORATION","CARGILL DEUTSCHLAND GMBH","DE",7,"STARCH",1674622,34000,49.25358824,"Germany"
