DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY(kg),DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
26-Jan,S.E.A OLYMPUS MARKETING INC.,"SEUNG HYUN CO., LTD.",LOBIVIA,ELLSCEB1712057,KR,2160,SUNSHIELD SILICONE SEALANT CLEAR,"9,176.71",466446
12-Jan,S2A ENTERPRISE,TRANSCEND INTERNATIONAL BUSINESS SH,HANSA FRESENBURG S005,SNL7SHPL4005472,CN,23800,ADHESIVE,"24,433.20",1306662
12-Jan,SAINT GOBAIN PHILIPPINES CO. LTD.,SAINT- GOBAIN WEBER CO LTD,ISEACO FORTUNE V.1725N,SBKKA0017051,TH,13400,"WEBER DRY TEX CEMENT - WEBER DRY TOP,WEBER D","6,608.78",345205
19-Jan,SAMBON P&E PHILS. CORP.,DREAM HI TECH,HYUNDAI FORWARD 077S,HDMUBUML4728741,KR,350,"ADHESIVE SC08Z2, DB4378FY, DB1101, EMULSION","18,267.19",1007252
22-Jan,SAMSUNG ELECTRO-MECHANICS,CHANG JO CO LTD,HEUNG-A HAIPHONG 0080S,1801SMB046,KR,1312,ADHESIVE TAPE,"27,953.14",1499148
29-Jan,SAMSUNG ELECTRO-MECHANICS,"CHANG JO CO., LTD",FPMC CONTAINER 8 1802S,1801SMB072,KR,1212,ADHESIVE TAPE,"25,116.19",1363112
30-Jan,SAMSUNG ELECTRO-MECHANICS,"SAMSUNG SDI CO., LTD",HYUNDAI GLORY 091S,1801BX521,KR,727,EPOXY MOLDING COMPOUND,"11,542.44",629537
24-Jan,SAN MIGUEL BREWERY INC,NOVOZYMES MALAYSIA SDN BHD,NYK JOANNA V. 061N,01PKG0113220,US,13200,"ENZYMES (ATTENUZYME CORE, TERMAMYL SC DS, UL","114,191.27",5952011
5-Jan,SAN MIGUEL BREWERY INC,NOVOZYMES MALAYSIA SDN BHD,CALICANTO BRIDGE V. 245V,01PKG0108634,US,13200,"ENZYMES (ATTENUZYME CORE, TERMAMYL SC DS, UL","110,034.30",5679438
30-Jan,SAN MIGUEL BREWERY INC,C.T. STRUCKMANN & WAEGE,BUDAPEST EXPRESS,CGN056815,DE,1350,MUNKADUR GL BROWN BASE/HARDENER,"42,051.12",2261457
26-Jan,SAN MIGUEL FOODS INC,GLOBAL NUTRITION ASIA PACIFIC PTE L,YM WELLNESS 013E,MOLU28014427191,FR,4220,SAFIZYM GP60,"235,385.06",12258105
16-Jan,SAN MIGUEL MILLS INC,MUEHLENCHEMIE GMBH & CO. KG,CALICANTO BRIDGE,MNL215610,DE,600,ALPHAMALT GLOXY 12082,"16,996.91",884207
4-Jan,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,CALLAO BRIDGE 122S,NYKSOS7AC2404201,JP,615,ADHESIVE POWDER,"12,535.30",658660
15-Jan,SANYO DENKI PHILIPPINES INC.,NABELIN CO LTD,5J5057/11,KKS15163492,JP,92,CEMEDINE SUPER X,"5,846.80",314563
10-Jan,SANYO DENKI PHILIPPINES INC.,THREE BOND SINGAPORE PTE LTD,FX5158,269301,SG,125,SEALANT,"8,640.53",459601
30-Jan,SANYO DENKI PHILIPPINES INC.,THREE BOND SINGAPORE PTE LTD,PR508,758836,SG,56,SEALANT,"5,040.00",283301
29-Jan,SCAD SERVICES (S) PTE. LTD. - PHIL,"FRP SERVICES & COMPANY,",COLOMBO 032S,I288007731A,JP,1216,BASF INOAC FOAMLITE,"7,063.94",398197
18-Jan,SCAD SERVICES (S) PTE. LTD. - PHIL,HRD SINGAPORE PTE LTD,CALLAO BRIDGE 123N,NYKSNG6JJ0570300,JP,25572,NOTAPE,"80,421.83",4263206
25-Jan,SCAD SERVICES (S) PTE. LTD. - PHIL,HRD SINGAPORE PTE LTD,SITC DALIAN 1802S,SITSMMS1704271,JP,710,SCHAETTI FIX,"5,497.77",292604
4-Jan,SCARBOROUGH FINE FURNITURE INC.,CARTELL CHEMICAL CO LTD,AVILA V.001,KAOCEB1712195,TW,101,"CYANOACRYLATE ADHESIVE ,ACCELARATOR","5,510.00",297227
