DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY(kg),DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
31-Jan,MEGASOFT HYGIENIC PRODUCTS INC,SHENZHEN GUI HAO CHENG TRADE,MCC SEOUL,846512,CN,"62,414","3X40 CTR STC ADHESIVE H4394, TEP4658, TEP517","65,880.00","3,398,933.00"
25-Jan,MEGASOFT HYGIENIC PRODUCTS INC,SHENZHEN GUI HAO CHENG TRADE,SITC FUJIAN V1802S,SITGSHCYT01030,CN,"20,957",ADHESIVE H4394/TEP 517/TEP 876,"26,010.36","1,326,245.00"
5-Jan,MEGATRENDS  I&C CORPORATION,NURICHEM CO LTD,PHILIPPA SCHULTE,HDMUBUWB4727611,KR,"14,852","SEALANT N2000 A2000/ FS1000, WS2000-290/ 580","20,621.43","1,067,286.00"
3-Jan,MEGATRENDS  I&C CORPORATION,NPT S.R.L A SOCIO UNICO,HANOVER EXPRESS,HLCUMEA171118318,IT,"16,895","SEALANT U-SEAL 907,/ U SEAL 500MEGAFLEX PU 2","15,856.37","867,481.00"
26-Jan,MEGATRENDS  I&C CORPORATION,TREMCO ASIA PTE LTD,LOBIVIA 059E,HJSG18010044,SG,891,SPECTREM 2 BLACK 600ML,"6,206.84","335,183.00"
15-Jan,MICROCHIP TECHNOLOGY OPERATIONS,UCHIDA MK SDN BHD,5J804,7218,MY,488,30.00 PE CLEANROOM CHAIR,"8,691.70","464,791.00"
11-Jan,MINTRADE CORPORATION,"GLOBECHEM RESOURCES CO., LTD",RHL AQUA 0829 018S,EGLV097760014755,MY,"147,580",STC UREA GLUE NON HAZARDOUS INDUSTRIAL USE,"39,846.60","2,031,642.00"
12-Jan,MODERN HOME CLASSIC MARKETING/,FOSHAN CITY CHUANG SHI JI INDUSTRIA,MAGNAVIA 17001S,6604,CN,"14,084",SILICONE SEALANT,"18,110.00","968,116.00"
20-Jan,MOLEX INTEGRATED PRODUCTS PHILS INC,ELLSWORTH ADHESIVE (SINGAPORE),SQ 910,HHE65229498,SG,384,TECHNOMELT PA 638 44LB BLK,"12,271.87","676,214.00"
23-Jan,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,MOL HOPE 0038E,BKKCB17018519,TH,"19,000",1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.23","700,116.00"
24-Jan,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,SITC HAKATA V.1801N,HDMUTHML0867593,TH,"19,000",1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.23","700,116.00"
19-Jan,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,MOL HORIZON 1096E,BKKCB17018520,TH,"19,000",1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.22","697,081.00"
10-Jan,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,HYUNDAI HARMONY V.1735N,HDMUTHML0862455,TH,"19,000",1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.18","693,334.00"
30-Jan,MONDE NISSIN CORPORATION,COOPERATIE AVEBE UA,NYK OCEANUS V.051E,711012,NL,"3,000",FARINEX VA 70,"15,750.00","835,238.00"
29-Jan,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,MOL HORIZON V.1097E,BKKCB17018521,TH,"19,000",MODIFIED TAPIOCA STARCH,"13,650.19","707,883.00"
10-Jan,MONDELEZ PHILIPPINES INC,FONTERRA LIMITED,CORNELIUS MAERSK V. 1710,73959,NZ,"52,500",RENNET CASEIN 90 MESH CASEINE PRESSURE 90,"355,735.30","17,814,239.00"
16-Jan,MONROE MULTINATIONAL GROUP INC.,APPLIED DB PUBLIC COMPANY LTD.,WAN HAI 221 V.N313,0357X59451,TH,"6,991","SPARKO 1101 LIQUID GASKET, SPARKO BLACK RTV,","64,415.28","3,247,639.00"
16-Jan,MONROE MULTINATIONAL GROUP INC.,APPLIED DB PUBLIC COMPANY LTD.,WAN HAI 221 V.N313,0357X59451,TH,970,"SPARKO SUPER GLUE, SUPER EPOXY, SPLOC AA38,","6,945.60","374,436.00"
