DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
6-Mar,SAVE EARTH TECHNOLOGIES AND SERVICE,BIO-SYSTEMS INTERNATIONAL,COLOMBO V.037S,44393,US,1160.00,"250 PAILS PC+,4 X 2LB CUBES PER PAIL ENZYMES","24,210.46",1305665.00
6-Mar,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,MOL HORIZON V.1100E,MOLU13807447505,TH,23760.00,2X20 RF CTNR EPOXY ENCAPSULATION MATERIAL,"91,593.17",4939350.00
20-Mar,DKSH PHILIPPINES INC.,"SMS CORPORATION CO., LTD.",SITC LAEM CHABANG,SITGBKMN104752,TH,39000.00,2X20 STC 1560 BAGS KREATION MB MODIFIED STAR,"25,925.40",1366498.00
27-Mar,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,MOL HOPE V. 0043E,MOLU13807478893,TH,25371.00,2X20RF EPOXY ENCAPSULATION MATERIAL,"89,669.72",4833703.00
8-Mar,MAGNOLIA INC.,VRS FOODS LIMITED,HYUNDAI SPLENDER,SFP180163587,IN,50000.00,2X40 CONTRS STC: (2000 BAGS) RENNER CASEIN-9,"299,575.52",15789990.00
2-Mar,JEBSEN & JESSEN INGREDIENTS (P),VEDAN VIETNAM ENTERPRISE CORP LTD,AMALIA C 038B,OOLU2600395320,VN,54000.00,3 X 20 STC MODIFIED STARCH [ DISTARCH PHOSPH,"33,490.78",1765089.00
15-Mar,INLAND WAREHOUSING & LOGISTICS DIV.,"THREEBOND CO., LTD",CAPE NABIL V.034S,NYKSTY6AG8363400,JP,640.00,313 NE THREEBOND BRAND PRODUCTS (TB2236C/T,"11,251.66",619433.00
23-Mar,INGREDION PHILIPPINES INC.,PT. INGREDION INDONESIA,GH ZONDA 802A,MCB175653,US,4994.00,32233103CA NATIONAL 78-0432(modified starch),"16,511.66",896944.00
23-Mar,TURRIS PHIL. INC.,TATE & LYLE INGREDIENTS AMERICAS,YM MUTUALITY,NYKSCHIU06794400,US,38556.00,34 PACKAGES 1700 BAGS  MODIFIED STARCH,"39,519.90",2139939.00
24-Mar,INLAND WAREHOUSING & LOGISTICS DIV.,THREE BOND MANUFACTURING (THAILAND),SITC LIAONING,BKK0667388,TH,3394.00,340 PE THREEBOND BRAND PRODUCTS(TB3089H/TB,"207,830.38",11391778.00
13-Mar,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,SOFIA EXPRESS V.044E,NYKSHAMU00283300,DE,51000.00,3X20 CONTAINER STC: 2040 BAGS C TEX 06205 AC,"45,086.40",2432882.00
26-Mar,MEGASOFT HYGIENIC PRODUCTS INC,SHENZHEN GUI HAO CHENG TRADE,HANSA SEIGBURG,16266,CN,61236.00,"3X40 CTR STC ADHESIVE H4394, TEP517","78,724.69",4141934.00
8-Mar,STARKEN PHILIPPINES INC.,STARKEN AAC SDN. BHD.,MV BUXMELODY,EGLV091830058242,MY,78585.00,3X40HC CONTR STC 1950 PCS THIN BED ADHESIVE,"14,428.50",826934.00
1-Mar,HAMBURG TRADING CORPORATION,CARGILL DEUTHCHLAND GMBH,NYK EAGLE V.008E,NYKSHAMT64238500,DE,71225.00,4 X 20 CONTAINERS STC 2849 BAGS C TEX 06214,"60,921.71",3304322.00
21-Mar,JEBSEN & JESSEN INGREDIENTS (P),VEDAN VIETNAM ENTERPRISE CORP. LTD,ST EVER,OOLU2601062570,VN,72000.00,4 X 20 STC MODIFIED STARCH [DISTARCH PHOSPHA,"44,654.37",2351526.00
8-Mar,EDWARD KELLER (PHILS.) INC.,"SMS CORPORATION CO., LTD.",SITC GUANGDONG 1803N,1MNL18020166,TH,4000.00,4PLTS STC 160 BAGS KREATION TU10,"5,137.90",274077.00
16-Mar,CENTURY PACIFIC FOOD INC.,GENERAL STARCH LIMITED,MOL HOPE,BKKCB18002505,TH,20000.00,800 BAGS MODIFIED TAPIOCA STAR,"16,473.20",867483.00
15-Mar,MEAD JOHNSON NUTRITION (PHILS) INC,KERRY INGREDIENTS (IRELAND) LTD,COSCO SPAIN,IEORK4017804563,IE,16800.00,9075 ULTRANOR MILK PROTEIN ISOLATE,"185,123.36",9758154.00
21-Mar,DOLE PHILIPPINES INC,NOVOZYMES MALAYSIA SDN BHD,WAN HAI 101 V.N112,01PKG0121520,MY,960.00,PECTINEX ULTRA TROPICAL,"9,600.00",541725.00
27-Mar,SUPERSTAR COCONUT PRODUCTS CO. INC,SAN SOON SENG FOOD INDUSTRIES,KMTC TIANJIN 1802N,PKG1410385,MY,16000.00,AAA MALTODEXTRIN,"13,812.00",753781.00
19-Mar,HENKEL PHILIPPINES INC.,HENKEL CHEMICAL TECHNOLOGIES,TORRES STRAIT VOY 1807,SHA823478,CN,3386.00,"ADHESIVE (TECHNOMELT 3183 25KG,","11,520.92",605532.00
21-Mar,JT INTERNATIONAL ASIA MFG. CORP.,H.B. FULLER ADHESIVES MALAYSIA SDN,XIN QIN HUANG DAO 042E,PKGSGL000401,MY,3675.00,ADHESIVE DURABOND-CONTROLLED,"10,257.12",571724.00
19-Mar,MAHLE FILTER SYSTEMS PHILS. CORP.,MAHLE FILTER SYSTEMS JAPAN CORP GLO,CAPE NABIL 034S,33034,JP,10000.00,ADHESIVE OF 418P-3,"22,846.78",1254895.00
2-Mar,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,CALLAO BRIDGE 125S,UKBMNL18025188,JP,900.00,ADHESIVE POWDER,"19,302.75",1046257.00
5-Mar,TRANS WORLD TRADING COMPANY,TOYOCHEM SPECIALTY CHEMICAL SDN.BHD,BUXMELODY V1647-094N,EGLV091830038381,MY,16000.00,ADHESIVE TM-585-60M-DM-PH,"59,328.20",3106236.00
7-Mar,PRINCEACE CORP.,NILOS GMBH & CO,COLOMBO EXPRESS,DEHAM1801REM20093,DE,400.00,"ADHESIVE TOPGUM TL-T70, PRIMER SH","8,243.02",452666.00
