DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
25-Sep,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,HORAI BRIDGE V. 099E,ONEYBKKU90374900,TH,12686.00,1X20RF EPOXY ENCAPSULATION,"50,817.54",2845806.00
12-Sep,SAGAWA GLOBAL LOGISTICS PHILIPPINES,MACDERMID PERFORMANCE SOLUTION,EVER BLISS 1674-015N,SEATF1809000901,SG,19015.00,"1X40 CNTR STC: 24 PLTS ULTRA ETCH F L,MACDER","32,668.30",1815592.00
13-Sep,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,OOCL HO CHI MINH CITY V. 02,OOLU2102984150,US,19125.00,1X40 CONTAINER STC: 765 PACKAGES CTEX 06214,"16,330.57",916617.00
3-Sep,INGREDION PHILIPPINES INC.,INGREDION INC,OOCL MIAMI V 047W,OOLU2102569130,US,18998.00,1X40GP CNTR STC CLEARJEL S K4484 COLFLO 67,"26,789.77",1489872.00
3-Sep,INGREDION PHILIPPINES INC.,INGREDION INC,OOCL MEMPHIS 041W,OOLU2102569140,US,18371.00,1X40GP CNTR STC THERMTEX TRUEPACE IP,"20,842.32",1162588.00
6-Sep,NCH PHILIPPINES INC.,NCH DISTRIBUTION S.R.O.,MOL BREEZE 024E,A1SIN242370,CZ,921.00,"2 PKGS STC MEGA PIPE REPAIR, X-RUST GEL, MEG","7,452.37",424676.00
12-Sep,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH,EVER DIVINE,ONEYCPTU08722501,ZA,36000.00,2 X 20 CNTR. STYCROS M,"18,720.00",1045157.00
19-Sep,AP MAGNA CHEM DISTRIBUTION CORP.,THANH VU JOINT STOCK COMPANY,NORDPANTHER 036S,POBUSGN180800474,VN,35000.00,2 X 20 CONT STC 1440 BAGS MODIFIED TAPIOCA,"22,750.40",1244832.00
21-Sep,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,CALICANTO BRIDGE V.264E,ONEYBKKU90364800,TH,25371.00,2X20RF CTNR  EPOXY ENCAPSULATION MATERIAL,"87,841.22",4925871.00
6-Sep,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,CALICANTO BRIDGE V. 236E,ONEYBKKU81218600,TH,25371.00,2X20RF EPOXY ENCAPSULATION MATERIAL,"88,990.83",4911933.00
28-Sep,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,OOCL BEIJING V.062W,OOLU2102984151,US,38250.00,2X40 CONTAINER STC: 34 PALLETS CTEX 06214,"32,661.13",1853596.00
3-Sep,MEGA SOFT HYGIENIC PRODUCTS INC.,SHENZHEN GUI HAO CHENG TRADE,ISAO,502195,CN,42543.00,"2X40 HC STC ADHESIVE H4394, TEP 517","54,516.01",2940404.00
7-Sep,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH (PTY) LTD.,AMBASSADOR BRIDGE,EGLV320830033282,ZA,64800.00,3 X 40  UNI-Q PREGELATINISED WAXY MAIZE STAR,"36,288.00",2031109.00
27-Sep,AP MAGNA CHEM DISTRIBUTION CORP.,THANH VU JOINT STOCK COMPANY,NORDPUMA 1003S,KFCHCMMNN1809003,VN,78900.00,3 X 40 CONT STC 3156 BAGS OF MODIFIED TAPIOC,"50,136.00",2764968.00
25-Sep,VIBELLE MANUFACTURING CORPORATION,"KAO USA, INC.",HYUNDAI JAKARTA,32345,US,1361.00,"3000 LB. ALUM STARCH OCTENYL,","7,550.41",422624.00
7-Sep,TURRIS PHIL. INC.,TATE & LYLE INGREDIENTS AMERICAS IN,EVER LAMBENT,EGLV425841868761,US,38556.00,34 PALLETS  X-PAND'R STARCH,"39,519.90",2197730.00
25-Sep,THE PUREFOODS HORMEL COMPANY INC,"SMS CORPORATION CO., LTD..",HORAI BRIDGE 099E,ONEYBKKUA4251600,TH,72000.00,3X40 MODIFIED TAPIOCA STARCH KREATION 20 CL,"53,691.42",2946879.00
10-Sep,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES A/S,NYK FALCON 006E,CPH32102821,DK,4000.00,4 PALLETS STC 4 BB OF ENZYMES (ECLIPSE 150T),"59,678.10",3301475.00
13-Sep,FABRI-KOTE INC.,UBIS ASIA PUBLIC COMPANY LTD,SITC LIAONING V.1827N,B180904411,TH,1380.00,46 PALLS LINING COMPOUND SD590,"5,754.43",311558.00
17-Sep,MC RITZ INTERNATIONAL CORPORATION,"E H M INTERTRADING CO., LTD.",OPHELIA V.002N,LCHCB18023150,TH,80000.00,"4X20 3,200 BAGS MODIFIED TAPIOCA STARCH","44,066.22",2407558.00
24-Sep,UNITED PULP AND PAPER CO. INC.,SMS CORPORATION CO LTD,HORAI BRIDGE V.099E,ONEYBKKUA7973600,TH,72000.00,4X20 MODIFIED TAPIOCA STARCH,"59,400.00",3243872.00
19-Sep,TURRIS PHIL. INC.,TATE & LYLE  INGREDIENTS AMERICAS L,YM MODESTY,ONEYRICUH5476300,US,4536.00,5 PALLETS 200 BAGS MIRA-THIK 4,"12,800.59",716000.00
19-Sep,TURRIS PHIL. INC.,TATE & LYLE  INGREDIENTS AMERICAS L,YM MODESTY,ONEYRICUH5476300,US,4536.00,5 PALLETS 200 BAGS SOFT SET STA,"12,882.24",720550.00
28-Sep,SEALBOND CHEMICAL INDUSTRIES INC.,IMPIANA INDUSTRIES SDN BHD,PL GERMANY 065E,MYPKGMNL20180902,MY,5299.00,"5,760 PCS BS-8620S LM MS SEALANT COLOR: GREY","17,155.17",940170.00
28-Sep,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES A/S,NYK IBIS 012E,CPH32102841,DK,6000.00,6 PALLETS STC 6 BB OF ENZYMES (ECLIPSE 150T),"91,249.74",5119225.00
4-Sep,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES A/S,YM WHOLESOME,CPH32102814,DK,6000.00,6 PLTS STC 6 BB OF ENZYMES (ECLIPSE 150T),"90,672.21",4997098.00
27-Sep,AP MAGNA CHEM DISTRIBUTION CORP.,THANH VU JOINT STOCK COMPANY,NORDPUMA 1003S,POBUSGN180900070,VN,105000.00,6 X 20 CONT STC 4200 BAGS OF MODIFIED TAPIOC,"66,109.20",3632451.00
4-Sep,JEBSEN & JESSEN INGREDIENTS (P),VEDAN (VIETNAM) ENTERPRISE CORP. LT,NORDPUMA 1002S,A598007824,VN,108000.00,6 X 20 STC MODIFIED STARCH (ACETYLATED DISTA,"85,342.54",4595621.00
27-Sep,JEBSEN & JESSEN INGREDIENTS (P),VEDAN VIETNAM ENTERPRISE CORP. LTD,TR PORTHOS 011N,OOLU2609361020,VN,108000.00,6 X 20 STC MODIFIED STARCH [ACETYLATED DISTA,"85,341.74",4677609.00
21-Sep,ACASTILLO ENTERPRISES,GUANGZHOU TONGAN IMPORT & EXPORT TR,AS SICILIA 18015S,200005,CN,1350.00,"7 PKGS. FLOOR GLUE, GLUE","4,262.83",245372.00
24-Sep,ARTNATURE MANUFACTURING PHILIPPINES,"TOYO POLYMACK CO., LTD",NYK SILVIA V.0501S,JPPHTYO03277,JP,350.00,7.00 DR POLYURETHANE RESIN SOLUTI,"4,579.77",266245.00
13-Sep,MOLEX INTEGRATED PRODUCTS PHILS INC,ELLSWORTH ADHESIVE SYSTEMS,OOCL TAIPEI/26,441066,US,440.00,792.00 LB TECHNOMELT PA 638,"13,578.30",770371.00
26-Sep,INGREDION PHILIPPINES INC.,INGREDION INC. 5 WESTBROOK,YM MODESTY 037W,807014,US,18371.00,810BAGS OF THERMEX MODIFIED STARCHES,"20,842.32",1179823.00
