DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
4-Oct,ASIA PRIMERA KIMIKA INC.,BASF HONGKONG LTD.,NYK EAGLE 011E,HLCUHAM180847094,NL,400.00,GLUADIN WLM BENZ HYDROLIZED PROTIEN,"12,523.93",690258.00
11-Oct,SOUTHTRANS TRADING,"YIWU HEJING IMPORT&EXPORT CO.,LTD",ATLANTIC SOLLI V.1817S,NBYH18090525,CN,4662.00,GLUE,"6,100.17",335498.00
16-Oct,STT PHILIPPINES INC,STT INC.,NYK SILVIA 0502S,YOKAEM84641,JP,6480.00,GLUE SE6750 A/B,"96,743.81",5419626.00
30-Oct,STT PHILIPPINES INC,STT INC.,IRENES RESPECT 0005S,YOKAES92554,JP,3888.00,GLUE SE6750A/B,"57,959.20",3235536.00
23-Oct,SYNERGY SALES INTERNATIONAL CORP,XIAMEN QICHEN IMPORT & EXPORT,MAGNAVIA V-18022S,11718,CN,21000.00,GLUE STARCH AS PER INV#XG180926 DTD. 9/26/20,"11,473.64",628078.00
25-Oct,KOU FU PACKAGING CORPORATION,KOFU COLOR PRINTING CORP,ASIA IPSA,0018C74151,TW,21085.00,"GLUE,INK,PVC,PVA","96,675.60",5780695.00
5-Oct,BRENNTAG INGREDIENTS INC.,DUPONT NUTRITION BIOSCIENCES,MANILA MAERSK V 835E,39669,DK,640.00,"GRINDAMYL XV,POWERBAKE 4400,GRINDAMYL SUREBA","16,532.26",927803.00
23-Oct,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,NAVIOS AMARILLO 023S,APLU051911682,CN,4000.00,GRIPWELL 1088 (HOT MELT ADHESIVES),"8,755.44",478864.00
29-Oct,DESK TOP BAGS PHILIPPINES INC.,GOLDEN   COMPANY  LIMITED,CALICANTO  BRIDGE  266E,PSGNMNL1803957,VN,339.00,HANDBAG ACCESSORIES,"9,367.04",536684.00
3-Oct,IMCD PHILIPPINES CORPORATION,SANOVO FOODS A/S,HYUNDAI UNITY V.105E,HDMUHBWB0490986,DK,20250.00,HEN EGG ALBUMEN POWDER,"124,322.90",6981488.00
12-Oct,ASCO MARKETING CORPORATION,BOUWHUIS ENTHOVEN B.V.,NYK FALCON,807012,NL,6000.00,HENS EGG ALBUMEN CRYSTALS F,"52,800.00",2960477.00
23-Oct,BOSTIK PHILIPPINES INC.,JIANGSU BOSTIK ADHESIVE CO. LTD,DONG FANG QIANG 1818S,503020,CN,9000.00,HERBERTS 1K LF190 X3 PURBINDER MP830,"39,062.76",2119437.00
2-Oct,HILTI PHILIPPINES INC.,HILTI CORPORATION,NORTHERN DEFENDER 810A,SGSIN0000094801,SG,35346.00,HILTI FIXING EQUIPMENT INJECTABLE MORTAR,"162,762.63",9322356.00
18-Oct,HILTI PHILIPPINES INC.,HILTI CORPORATION,GH LESTE 816A,SGSIN0000095298,SG,5719.00,"HILTI FIXING EQUIPMENT SEALANT FS ON MAX, FI","72,199.50",4111475.00
30-Oct,HILTI PHILIPPINES INC.,HILTI CORPORATION,MAJD  814A,SGSIN0000095933,SG,35487.00,"HILTI FIXING EQUIPMENT-INJECTABLE MORTAR,FIR","154,327.00",8767464.00
10-Oct,H.B FULLER (PHILIPPINES) INC.,H B FULLER DEUTSCHLAND PRODUKTIONS,NYK CRANE V.010E,HLCUHAM180887955,DE,13125.00,"HM 8229 E, HARMLESS GLUES","41,069.64",2359232.00
15-Oct,AKAGI GOMU PHILS. CORP.,"AKAGI CO., LTD",NYK SILVIA 0502S,YLKS8060420,JP,2337.00,HOT MELT,"17,105.93",976369.00
2-Oct,GEMPHIL ELECTRONICS ASSEMBLIES INC.,FORTUNE AND STAR CO LTD,NORDPUMA V.1003N,CSLMNN180900239,TH,6300.00,HOT MELT (PARTS OF REFRIGERATOR),"17,952.22",1036321.00
30-Oct,ANGELES ALLIANCE LEATHERWARE INC.,DINGZING ADVANCED MATERIALS INCORPO,HYUNDAI GLORY V. 103S,LMKHH1810025,TW,1623.00,HOT MELT ADHESIVE (TPU FILM),"22,433.40",1277529.00
25-Oct,QUANTA PAPER CORPORATION,FOCUS HOTMELT CO. LTD.,TRF KAYA,231788,CN,20160.00,HOT MELT ADHESIVE T100A & T303,"39,060.53",2122505.00
2-Oct,H.B FULLER (PHILIPPINES) INC.,H.B FULLER (CHINA) ADHESIVES LTD,GUANHAIAN98 V.913,APLU051908380,CN,9600.00,HOT MELT ADHESIVES,"25,964.93",1423371.00
8-Oct,NAN PAO RESINS CHEMICAL PHILIPPINES,FOSHAN NAN PAO ADVANCED MATERIALS C,SHI TAI 568,CNH0171567,CN,7000.00,HOT MELT ADHESIVES HM 560L,"15,015.17",819114.00
8-Oct,NAN PAO RESINS CHEMICAL PHILIPPINES,FOSHAN NAN PAO ADVANCED MATERIALS C,SHI TAI 568,CNH0171567,CN,6000.00,HOT MELT ADHESIVES HM 8101,"13,446.42",733754.00
17-Oct,MEGAWIDE CONSTRUCTION CORPORATION,BUEHNEN GMBH & CO. KG,MATS MAERSK V.JMTZ836E,809018,DE,7335.00,HOT MELT SMALL PILLOWS,"38,692.28",2214355.00
2-Oct,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL CHECMICAL TECHNOLOGIES (SHAN,DONG FANG QIANG V.1817S,2486,CN,8640.00,HOTMELT ADHESIVE,"39,963.19",2292698.00
24-Oct,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL CHECMICAL TECHNOLOGIES (SHAN,WAN HAI 306 V.S255,1276,CN,8640.00,HOTMELT ADHESIVE,"39,963.19",2281019.00
2-Oct,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES (GUAN,AS SICILIA 18016S,TYSD011809180008,CN,5760.00,HOTMELT ADHESIVE,"32,994.28",1889547.00
2-Oct,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES (GUAN,AS SICILIA 18016S,TYSD011809180008,CN,3840.00,HOTMELT ADHESIVE,"19,000.26",1038605.00
16-Oct,BOSTIK PHILIPPINES INC.,BOSTIK FINDLEY CHINA CO. LTD.,HANSA ALTENBURG 007S,OOLU2609984480,CN,1315.00,HOTMELT ADHESIVE H9588 P6 AND KIZEN ICE 1.0,"16,109.32",922610.00
4-Oct,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,AS RAFAELA S006,0018C63529,TW,2000.00,HOTMELT ADHESIVES HM 6512,"5,340.00",305937.00
1-Oct,INTER NATIONAL ADHESIVES CORP,BEARDOW &  ADAMS ADHESIVES LTD,LOS ANDES BRIDGE 105N,LONMNL8560959V,GB,1200.00,HOTMELT BAM FUTURA 51,"5,528.00",322050.00
10-Oct,H.B FULLER (PHILIPPINES) INC.,H.B FULLER ADHESIVE MALAYSIA SDN BH,LODESTAR V.18004E,A178A09631,MY,9988.00,INDUSTRIAL ADHESIVES,"30,585.85",1667938.00
10-Oct,ERCM PRODUCTS INTERNATIONAL INC.,FLOWCRETE ASIA SDN BHD,LODESTAR V.18004E,EIH1890634ZMNN,MY,11586.00,"INDUSTRIAL FLOORING PRODUCTS, FLOWTEX PRIMER","30,355.26",1660003.00
4-Oct,COMMODITY QUEST INC.,"DEZHOU RUIKANG BIO TECHNOLOGY CO.,L",XIN FU ZHOU 042W,QDNN8090094,CN,100000.00,ISOLATED SOY PROTEIN,"217,240.00",11849491.00
17-Oct,AP MAGNA CHEM DISTRIBUTION CORP,CHEM-BASE (NANTONG) LABORATORI,MARIA SCHULTE OXA15S,KMTCTAO3630389UWS,CN,5000.00,ISP (ISOLATED SOY PROTEIN),"8,064.88",441327.00
23-Oct,BOSTIK PHILIPPINES INC.,JIANGSU BOSTIK ADHESIVE CO. LTD,DONG FANG QIANG 1818S,3020,CN,4463.00,ISR 70-03 GREY AND WHITE SAUSAGE 600ML,"21,427.62",1164944.00
30-Oct,BORAL PLASTERBOARD PHILIPPINES INC.,USG INTERIORS (FAR EAST) SDN B,EVER SONNY,SNKO160181000095,MY,41216.00,JC28KG ALLPURPOSE MIX JOINT COMPOUND 28KG/PA,"13,666.58",751195.00
31-Oct,KNAUF GYPSUM PHILIPPINES INC,PT. KNAUF GYPSUM INDONESIA,MAJD V814A,MCB575809,ID,39900.00,JOINTING COMPOUND,"7,182.00",397588.00
12-Oct,BORAL PLASTERBOARD PHILIPPINES INC.,USG BORAL SDN BHD,EVER BLISS 1678 016N,EGLV090800217778,MY,82096.00,JOINTING COMPOUND PREMIUM PREMIX,"25,268.56",1396937.00
17-Oct,BORAL PLASTERBOARD PHILIPPINES INC.,USG BORAL SDN BHD,BUXMELODY 1679 102N,EGLV090800231339,MY,82096.00,JOINTING COMPOUND PREMIUM PREMIX,"25,268.56",1396937.00
17-Oct,BORAL PLASTERBOARD PHILIPPINES INC.,USG BORAL SDN BHD,EVER BEADY 1680 009N,EGLV090800231347,MY,82096.00,JOINTING COMPOUND PREMIUM PREMIX,"25,268.56",1396937.00
17-Oct,BORAL PLASTERBOARD PHILIPPINES INC.,USG BORAL SDN BHD,BUXMELODY 1679 102N,EGLV090800228826,MY,41048.00,JOINTING COMPOUND PREMIUM PREMIX,"12,634.28",701376.00
2-Oct,EUNICE INC.,ALISPED S.P.A,MANHATTAN BRIDGE 015E,201809,IT,4525.00,"KELIWOOL LIQUID, ALOE VERA GEL JUICE 1 1, KE","57,966.78",3191310.00
19-Oct,HOUSE TECHNOLOGY INDUSTRIES PTE.LTD,KLEBCHEMIE M.G. BECKER,SINGAPORE 045S,N670192004,BE,13200.00,KLEIBERT 502.8 METAL DRUM WITH INLINER,"60,489.30",3447765.00
23-Oct,LINOCRAFT PRINTERS PHILIPPINES INC.,"PENGLAI FEITENG ADHESIVES CO., LTD",HONGDANXIN 8,AAYS000234,CN,26000.00,LAMINATION GLUE (QUICK DRY POWDER GLUE),"23,726.40",1390721.00
10-Oct,ALLGEMEINE BAU CHEMIE PHIL INC,WACKER CHEMICALS KOREA INC.,KMTC SHANGHAI 1812S,PUSA847795,KR,13600.00,LC 788 TRANS S1,"61,200.00",3335452.00
19-Oct,K-MORE PHILIPPINES INC.,TEX YEAR INDUSTRIES INC.,AS RAFAELA S007,0018C89140,TW,6020.00,"LEATHER TANNING PRODUCTS (HOT MELT - HM-983,","7,655.66",441531.00
1-Oct,LINTEC PHILIPPINES (PEZA) INC.,LINTEC CORPORATION,NASIA 177S,TPRI135,JP,8501.00,LINTEC SELF ADHESIVE PRODUCTS,"54,497.41",3127774.00
16-Oct,LINTEC PHILIPPINES (PEZA) INC.,LINTEC CORPORATION,NYK SILVIA 0502S,TPRJ157,JP,2987.00,LINTEC SELF ADHESIVE PRODUCTS,"35,640.00",2045058.00
25-Oct,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,ASIA IPSA S088,0018C84277,TW,4500.00,LIQUID ADHESIVE 173M,"11,204.99",636819.00
4-Oct,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,AS RAFAELA S006,0018C63529,TW,4500.00,LIQUID ADHESIVES 173M,"10,935.00",625287.00
25-Oct,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,ASIA IPSA S088,0018C84277,TW,4000.00,LIQUID ADHESIVES T UR049H,"14,480.01",822519.00
4-Oct,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,AS RAFAELA S006,0018C63529,TW,3000.00,LIQUID ADHESIVES T UR049H,"10,500.00",600412.00
2-Oct,HARDWARE & INDUSTRIAL SOLUTIONS INC,THREE BOND MANUFACTURING (THAI,NORDPUMA 1003N,LCHHSE18080139,TH,8000.00,LIQUID GASKET,"26,429.12",1520402.00
10-Oct,HANKYU HANSHIN LOGISTICS PHILS INC.,"ITATSU CO., LTD",IRENES RESPECT 0004S,MEI1183057,JP,964.00,LOCTITE 7387 ETC.,"11,356.00",648025.00
4-Oct,DYSON ELECTRONICS PTE LTD PH BRANCH,HENKEL SINGAPORE PTE LTD,ACX CRYSTAL V. 184N,SG000023738OE,SG,120.00,LOCTITE EA 9492 B EDS CONTROL 17060-22 FEB 2,"10,811.25",623596.00
16-Oct,DYSON ELECTRONICS PTE LTD PH BRANCH,HENKEL SINGAPORE PTE LTD,LOS ANDES BRIDGE 106N,SG000023834OE,SG,120.00,LOCTITE EA 9492 B EDS CONTROL 17060-22 FEB 2,"10,755.33",618639.00
17-Oct,BASF PHILIPPINES INC,BASF CORPORATION,EVER LIVELY 0943-032W,EGLV446842114967,US,8981.00,MASTERSEAL 500,"8,463.46",492567.00
23-Oct,BASF PHILIPPINES INC,BASF MALAYSIA SDN BHD,EVER BEADY 1680-009N,EGLV091830457791,MY,19491.00,MASTERSEAL 540 PART A MASTERSEAL 540 PART B,"8,379.78",460007.00
9-Oct,BASF PHILIPPINES INC,BASF CONSTRUCTION CHEMICALS,BAHAMIAN EXPRESS 0VO0VS1NC,ACSE012324,CN,15390.00,MASTERSEAL HLM5000R,"26,629.82",1453528.00
3-Oct,INGREDION PHILIPPINES INC.,NATIONAL STARCH AND CHEMICAL,GUAYAQUIL BRIDGE 746E,ONEYBKKU91306500,TH,179500.00,MODIFIE STARCH SUPER PURITY1 /ELASTIGEL 3000,"181,048.05",9902771.00
29-Oct,INGREDION PHILIPPINES INC.,NATIONAL STARCH AND CHEMICAL,CALICANTO BRIDGE 266E,ONEYBKKUB1952500,TH,72000.00,MODIFIED STARCH,"63,464.64",3449207.00
24-Oct,INGREDION PHILIPPINES INC.,NATIONAL STARCH AND CHEMICAL,GUAYAQUIL BRIDGE 747E,ONEYBKKUB1707300,TH,110844.00,MODIFIED STARCH NATIONAL 991/INSTANT PURE FL,"127,884.01",6960293.00
19-Oct,UNSU CORPORATION,ROQUETTE ITALIA SPA,FELIXSTOWE BRID V064,APLU709090698,IT,72000.00,MODIFIED STARCH PXG,"129,521.31",7269325.00
10-Oct,INGREDION PHILIPPINES INC.,NATIONAL STARCH AND CHEMICAL,CALICANTO BRIDGE 265E,ONEYBKKUB1950300,TH,130844.00,MODIFIED STARCH QUICK TEX 3331/SUPER PURITY,"138,425.90",7564419.00
26-Oct,RAM FOOD PRODUCTS INC,SINO THAI STARCH CO LTD,SITC SHANGHAI V 1825N/1826S,SITGBKMN117887,TH,18000.00,MODIFIED TAPIOCA STARCH,"19,273.00",1050793.00
8-Oct,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V,CSCL GLOBE 028,APLU706175691,NL,79000.00,MODIFIED WAXYMAIZE STARCH,"65,951.60",3718158.00
15-Oct,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V,OOCL V. 004,APLU706176177,NL,79000.00,MODIFIED WAXYMAIZE STARCH,"65,951.60",3712370.00
16-Oct,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V,OOCL V. 004,APLU706176176,NL,19750.00,MODIFIED WAXYMAIZE STARCH,"16,487.90",932827.00
22-Oct,NUTRI-ASIA INC.,TATE & LYLE NETHERLANDS B.V,CMA CGM 323,APLU706176468,NL,19750.00,MODIFIED WAXYMAIZE STARCH,"16,487.90",930750.00
23-Oct,TROPICANA FOOD PRODUCTS INC.,FONTERRA LIMITED,SVENDBORG MAERSK,77734,NZ,6400.00,MULTI-PLY BAGS SODIUM CASEINATE,"55,574.60",3024407.00
8-Oct,SCAD SERVICES (S) PTE. LTD. - PHIL,HRD SINGAPORE PTE LTD,IRENES RESPECT 0004S,ONEYSM8BB3163300,JP,25583.00,NOTAPE-BOND-NO.5250 I 220KG/DRUM,"86,574.50",4960397.00
4-Oct,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,YUEHAI168 920,APLU051909211,CN,17280.00,NW-1151ZP (HOT MELT ADHESIVES),"54,950.40",3154326.00
24-Oct,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,NAVIOS AMARILLO 023S,APLU051913121,CN,8640.00,NW-1151ZP (HOT MELT ADHESIVES),"27,196.51",1552363.00
15-Oct,OTHMANN INC.,ASUNG CLEAN FLOW TECH CO LTD,CAPE NASSAU 1806S,ULCMNL1800929,KR,364.00,OATEY SOLVENT CEMENT,"5,531.50",318977.00
24-Oct,UNIFIBER MULTISALES CORPORATION,ZIYING (XIAMEN) TRADE CO. LTD.,URU BHUM 18001S,26174,CN,96000.00,PAPER TUBE GLUE,"28,324.00",1576819.00
12-Oct,RAQUALIA TRADING INCORPORATED,OZEKI CHEMICAL (THAILAND) CO LTD,SITC LIAONING V.1831N,BE1804720,TH,4500.00,PARATEX TH EMULSION,"16,957.00",922942.00
30-Oct,SAN MIGUEL BREWERY INC,ENZYBEL INTERNATIONAL S.A,YM WIND 007E,ANR668024,BE,500.00,PERFORMASE,"32,358.23",1804102.00
18-Oct,EAST ASIA LABORATORIES INC,NATURAL REMEDIES PRIVATE LTD,LODESTAR 004,OOLU2609809950,IN,10200.00,PHYTOCEE POWDER,"29,915.92",1681921.00
9-Oct,BOUNTY FRESH FOOD INC,BIOCHEM ZUSATZATOFFE HANDELS,THALASSA ELPIDA,8021,DE,110.00,PIGLET PROTECTOR WITH DISPENSER,"7,495.95",425411.00
12-Oct,OTTILIE MARKETING INC.,SPEARS MANUFACTURING COMPANY,OOCL HO CHI MINH CITY 026W,SLGBSE003304,US,825.00,PINT FS-5 CPVC ONE-STEP FIRE SPRINKLER,"9,740.58",558649.00
17-Oct,WU KONG SINGAPORE PTE. LTD. PHIL.,NEDEX CHEMIE DEUTSCHLAND GMBH,EVER ULTRA 0512-157S,EGLV560800501662,NL,17477.00,POLYSULFIDE COMPONENT,"66,279.95",3895744.00
9-Oct,WU KONG SINGAPORE PTE. LTD. PHIL.,NEDEX CHEMIE DEUTSCHLAND GMBH,SINGAPORE 043S,N652040215,NL,17477.00,POLYSULFIDE COMPONENT,"66,279.95",3901840.00
17-Oct,WU KONG SINGAPORE PTE. LTD. PHIL.,NEDEX CHEMIE DEUTSCHLAND GMBH,HAYLING ISLAND 0511-011S,EGLV560800498173,NL,17496.00,POLYSULFIDE COMPONENT,"64,420.65",3786773.00
16-Oct,WU KONG SINGAPORE PTE. LTD. PHIL.,NEDEX CHEMIE DEUTSCHLAND GMBH,YM HEIGHTS 067S,N652040159,NL,17496.00,POLYSULFIDE COMPONENT,"64,420.65",3792695.00
15-Oct,WU KONG SINGAPORE PTE. LTD. PHIL.,NEDEX CHEMIE DEUTSCHLAND GMBH,YM HEIGHTS 067S,N652040126,NL,16056.00,POLYSULFIDE COMPONENT,"56,048.49",3301133.00
24-Oct,DAFFID INDUSTRIES INCORPORATED,TRISIGMA GLORY VENTURES PTE LT,CMA CGM VERDI,KNGMNL1810007,CN,2560.00,POLYURETHANE ADHESIVE,"15,497.10",840716.00
24-Oct,DAFFID INDUSTRIES INCORPORATED,TRISIGMA GLORY VENTURES PTE LT,CMA CGM VERDI,KNGMNL1810007,CN,1280.00,POLYURETHANE ADHESIVE,"11,163.17",606273.00
17-Oct,TRI-STAR GROUP ALLIANCE CORPORATION,DESIGNER CONCRETE COATINGS,MAJD V. 810A,S02377912,AU,8103.00,POOL RENDER (WHITE OPAL BC8000) (SAPPHIRE BC,"15,783.67",863488.00
26-Oct,KAERTECH ELECTRONICS PHILIPPINES,SHANG HAI SEPNA CHEMICAL,WAN HAI 306 S255,CNSHA4571810046,CN,1650.00,POTTING COMPOUND,"7,262.73",418186.00
18-Oct,FOOD INDUSTRIES INC.,ROQUETTE ITALIA SPA,FELIXSTOWE BRID V064,APLU709090699,IT,17850.00,PREGEFLO CH10,"32,473.22",1824563.00
18-Oct,FOOD INDUSTRIES INC.,ROQUETTE ITALIA SPA,FELIXSTOWE BRID V064,APLU709090700,IT,17850.00,PREGEFLO CH10,"32,473.22",1824563.00
17-Oct,PURATOS PHILIPPINES INC.,PURATOS NV,THALASSA DOXA 0994 021E,OOLU4035854080,BE,725.00,"PREMIX B-15032,  PREMIX X-870","14,749.58",828322.00
16-Oct,PURATOS PHILIPPINES INC.,PURATOS NV,THALASSA DOXA 0994 021E,OOLU4035854070,BE,600.00,"PREMIX SHELF LIFE EXTENDER B10878, PREMIX X-","11,280.45",632806.00
29-Oct,COFTA MOULDINGS CORPORATION,PAPCOR(DEZHOU) PACKAGING MATERIALS,HYUNDAI GLORY 103S,SSLMN186319,CN,18000.00,PREPARED ADHESIVES,"13,260.00",726796.00
