DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
9-Nov,SANKYOTATEYAMA PHILIPPINES INC,DOW SILICONES CORPORATION---,OOCL TAIPEI / 27,DTW0112976,US,458.00,1X40 CNTR 2 PLTS STC:DOWSIL (TM) INSTANTGLAZ,"6,044.60",346591.00
28-Nov,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED CTS,NYK ARTEMIS V.101W,ONEYRICUR7250300,US,19125.00,1X40 CONTAINER STC: 17 PALLETS CTEX 06214 MO,"16,329.48",899768.00
29-Nov,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,NYK ARGUS V.097W,ONEYRICUR7250301,US,19125.00,1X40 CONTAINER STC: 17 PALLETS CTEX 06214 MO,"16,329.48",899768.00
5-Nov,MAGNOLIA INC.,KAZEINA POLISKA SP. Z.O.O,MARGARETHE MAERSK,55510,PL,22000.00,1X40 CONTR STC: (880 BAGS) CASEIN 90 MESH,"129,925.66",7059476.00
5-Nov,INGREDION PHILIPPINES INC.,INGREDION INC,CMA CGM CHENNAI 0TU1WW1MA,NAM3233893,US,18371.00,1X40ST STC GEL N MELT DEXTRINS AND OTHER MOD,"28,268.94",1578385.00
5-Nov,INGREDION PHILIPPINES INC.,INGREDION INC,CMA CGM CHENNAI 0TU1WW1MA,NAM3233864,US,18371.00,1X40ST STC THERMTEX TRUETRACE IP DEXTRINS,"20,842.32",1167833.00
6-Nov,PROMESSO BUSINESS SOLUTIONS,TAIXING ZHONGXING IMP AND EXP CO L,HYUNDAI GLORY V 103S,SHMNN1809144512,CN,2600.00,260 CARTONS 5 PALLETS STC TRANSGLUTAMINASE,"27,530.00",1529515.00
29-Nov,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MSC ZOE V.840E,55292,DE,36000.00,2X20 CONTAINER STC: 1440 BAGS C TEX 06214 AC,"30,741.00",1679932.00
9-Nov,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,GUAYAQUIL BRIDGE V. 748E,ONEYBKKUD1640800,TH,23780.00,2X20RF EPOXY ENCAPSULATION COMPOUND,"92,652.15",5136727.00
14-Nov,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,CALICANTO BRIDGE V. 267E,ONEYBKKUD3054900,TH,23760.00,2X20RF EPOXY ENCAPSULATION COMPOUND,"89,229.49",4905282.00
14-Nov,HENKEL PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES,GUAYAQUIL BRIDGE 748E,SSGN2630530236,VN,36000.00,2X40 CTRS STC LOCTITE BONDACE 7103LTF ADHESI,"90,000.00",4816844.00
29-Nov,MEGA SOFT HYGIENIC PRODUCTS INC.,SHENZHEN GUI HAO CHENG TRADE,CORONADO BAY,TYSD011811050008,CN,39226.00,2X40 HC STC ADHESIVE DM2847,"48,717.87",2589641.00
6-Nov,AP MAGNA CHEM DISTRIBUTION CORP,THANH VU JOINT STOCK COMPANY,NORDPANTHER 037S,A598010211,VN,52500.00,3 X 20 CONT STC 2100 BAGS OF MODIFIED TAPIOC,"33,354.60",1811871.00
19-Nov,CORD CHEMICALS INC.,"CARTELL CHEMICAL CO., LTD",RHL AQUA 1811,3MNN9RA18110402,TW,1728.00,"320,000 PCS BULLDOG ALL PURPOSE, 32,000 PCS","50,374.40",2831436.00
22-Nov,TURRIS PHIL. INC.,TATE & LYLE NETHERLANDS B.V.,TOLEDO TRIUMP,OOLU4046695820,NL,98750.00,3950 BAGS RESISTAMYL 347 MODIF,"78,506.25",4327239.00
20-Nov,THE PUREFOODS HORMEL COMPANY INC,"SMS CORPORATION CO.,LTD.",CALICANTO BRIDGE,ONEYBKKUD3817900,TH,72000.00,3X40 MODIFIED TAPIOCA STARCH,"53,691.36",2898063.00
