DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
20-Apr,IM DIGITAL PHIL INC,IM CO. LTD,KE621,PNX115597,KR,62.00,LUBRICANT AND ETC,"20,258.01",1115251.00
30-Apr,EPSON PRECISION(PHILIPPINES) INC.,OKURA INDUSTRIAL CO LTD,PR407,HEI64192321,JP,8.00,N POLARIZER UNIT G,"6,813.00",380417.00
18-Apr,AMERTRON INC.,"NITTO DENKO PHILS CORP.,",AA,22697,SG,10.00,NITTO BRAND THERMAL RELEASE ADHESIVE TAPE,"45,343.00",2489577.00
18-Apr,AMERTRON INC.,"NITTO DENKO PHILS CORP.,",AA,22700,SG,8.00,NITTO BRAND THERMAL RELEASE ADHESIVE TAPE,"11,560.60",638885.00
12-Apr,AMERTRON INCORPORATED,SOL EPOXY INC.,PR127,AONY04029453,US,318.00,"OP7000 CL, EPOXY POWDER-PELLETS","16,938.83",933235.00
19-Apr,AMERTRON INC.,"SOL EPOXY INC.,",PR127,AONY04029461,US,589.00,OP7000CL (ADHESIVE),"33,989.39",1866166.00
18-Apr,AMERTRON INC.,"SOL EPOXY INC.,",PR127,AONY04029348,US,590.00,OP7000CL (ADHESIVE),"31,912.45",1753815.00
19-Apr,AMERTRON INC.,"SOL EPOXY INC.,",PR127,AONY04029497,US,589.00,OP7000CL (ADHESIVE),"29,517.93",1621396.00
5-Apr,AMERTRON INC.,"SOL EPOXY INC.,",PR127,AONY04029297,US,295.00,OP7000CL (ADHESIVE),"15,963.98",876994.00
23-Apr,SMK ELECTRONICS PHILS CORP,LG CHEM LTD,KE621,GPL9341829,KR,496.00,OPTICAL CLEAR ADHESIVE,"20,151.41",1067444.00
6-Apr,SMK ELECTRONICS PHILS CORP,LG CHEM LTD,OZ701,GPL9341696,KR,504.00,OPTICAL CLEAR ADHESIVE,"19,463.53",1070819.00
3-Apr,SMK ELECTRONICS PHILS CORP,SUNNY SEALING,LD 0457,33120,JP,44.00,OPTICAL CLEAR ADHESIVE,"8,381.87",465832.00
29-Apr,SMK ELECTRONICS PHILS CORP,SUNNY SEALING,LD 0457,65210,JP,39.00,OPTICAL CLEAR ADHESIVE,"7,334.31",409080.00
4-Apr,SMK ELECTRONICS PHILS CORP,LG CHEM LTD,KE621,GPL9341640,KR,168.00,OPTICAL CLEAR ADHESIVE,"6,583.29",367122.00
8-Apr,COMPOSITE DESIGNS AND TECHNOLOGIES,HAWKEYE INDUSTRIES,CI5879,S00115299,US,212.00,ORANGE VE TOPCOAT,"5,451.45",312646.00
12-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022029,US,551.00,"PAPER RELEASE, TAPE RLEASE","22,743.56",1245622.00
13-Apr,GBPLEN CORPORATION,"KOLEN CO., LTD,",OZ703,DECX984769,KR,34.00,PLASTIC BONDING LCM,"10,655.01",588430.00
21-Apr,MAXTRONIX LAGUNA INC,DYMAX ASIA PACIFIC PTE. LTD,FX5158,21333,US,14.00,PRODUCTS SUITABLE F,"14,809.51",816997.00
27-Apr,FLOORSTONE INC,RECKLI GMBH,EY 424,1223,DE,190.00,RECKLI FORMLINER ADHESIVE SO,"5,932.31",327868.00
30-Apr,LEGALAS TRADING CORP.,C&P GROUP GMBH,WY843,3324,DE,400.00,SAPRONA CONNECT CF (ENZYMES),"8,719.72",476134.00
4-Apr,TI (PHILIPPINES) INC.,DOW CORNING TORAY CO LTD,NH819,13280,JP,104.00,SE 4450 THERMALLY CONDUCTIVE ADHESIVE,"7,560.00",437303.00
4-Apr,SANYO DENKI PHILIPPINES INC.,THREE BOND SINGAPORE PTE LTD,PR508,66810,SG,73.00,SEALANT,"10,920.00",621415.00
3-Apr,MDLD INTERCHEMICAL INDUSTRIES INC.,BIOCON INDIA,CX939,4326,IN,25.00,SERRATIOPEPTIDASE,"8,012.00",437167.00
22-Apr,KDTECHNOLOGIES INC.,DOW SILICONES CORPORATION CDW,BR277,DTW0093031,US,379.00,SILICONE,"19,831.70",1091914.00
