DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
28-Jun,TMX PHILIPPINES INC.,MATERIAL TECHNOLOGY PTE LTD,CATHAY PACIFIC,SIN1630238,SG,30.00,"AMICON C-850-5A, (EPOTEK H20E ALTERNATE) S","8,830.00",501696.00
29-Jun,S.E.A OLYMPUS MARKETING INC.,ALTECO INC.,CATHAY PACIFIC,MSA70130965,JP,105.00,CYANOACRYLATE ADHESIVES,"9,609.49",546364.00
27-Jun,DEL MONTE PHILS INC. / PHILPACK,R-BIOPHARM AG,LD457,92780,DE,8.00,ENZYME  BIO ANALYSIS TEST KIT,"6,713.79",375500.00
28-Jun,TMX PHILIPPINES INC.,HENKEL (MALAYSIA) SDN BHD,CATHAY,KUL0617108,MY,113.00,LF LOCTITE MULTICORE 96SC LF300 AGS85V SOLDE,"14,866.80",841215.00
14-Jun,REMA TIP TOP (PHILIPPINES) INC.,REMA TIP TOP AG,EMIRATES,MUC85137661,DE,213.00,REMAFIX H(A+B) REMATIPTOP BRAND,"8,391.93",543634.00
18-Jun,CEBU MITSUMI INC.,"YAMAICHI SEIKO CO., LTD.",KOREAN AIRLINES,NEC63866154,JP,126.00,SENSOR BASE & ETC,"12,280.13",689002.00
4-Jun,NESTLE PHILIPPINES INC.,EPI INGREDIENTS,ACRUX N,783265,FR,25000.00,1X40  POTASSIUM CASEINATE,"148,393.66",9444192.00
18-Jun,NESTLE PHILIPPINES INC.,EPI INGREDIENTS,HANSA SIEGBURG,21657,FR,25000.00,1X40 POTASSIUM CASEINATE,"147,896.01",9403110.00
14-Jun,MEGASOFT HYGIENIC PRODUCTS INC,SHENZHEN GUI HAO CHENG TRADE,SITC FUJIAN V1816S,SITGSHCYT01038,CN,34559.00,ADHESIVE H4394,"44,312.46",2341734.00
14-Jun,MEGASOFT HYGIENIC PRODUCTS INC,SHENZHEN GUI HAO CHENG TRADE,SITC FUJIAN V1816S,SITGSHCYT01038,CN,7981.00,ADHESIVE TEP876,"10,233.57",545986.00
5-Jun,DAESANG RICOR CORPORATION,"GENENCOR (CHINA) BIO PRODUCTS CO.,",HANSA SIEGBURG V 1813,34286,CN,7664.00,SPEZYME DRED,"23,458.90",1244807.00
11-Jun,CORBOX CORPORATION,CHUEN HUAH CHEMICAL CO LTD,SINAR SUMBA 0850 004,EGLV001800276432,TW,11810.00,STARCH CROSSLINKING AGENT CAS-901,"7,766.85",425202.00
18-Jun,GOLDMUNZEN INC.,IGM RESINS INTERNATIONAL TRADING,SINGAPORE V.028S,KAOMAN186001,TW,1000.00,OMNIRAD 500,"12,799.92",704984.00
25-Jun,HENKEL PHILIPPINES INC.,HENKEL CHEMICAL TECHNOLOGIES,EM HYDRA 1815,SHA131691,CN,5575.00,LOCTITE LIOFOL LA 6029 225 KG,"18,404.04",991590.00
2-May,BOAST INC.,ZHONGSHAN JUN TAI IMPORT AND,VLADIVOSTOK 1813,MCB260714,CN,4934.00,GB-347 GLUE,"7,800.00",451686.00
2-May,BOAST INC.,ZHONGSHAN JUN TAI IMPORT AND,VLADIVOSTOK 1813,MCB260714,CN,3794.00,GB-616 CONTACT ADHESIVE,"6,000.00",347763.00
2-May,BOAST INC.,ZHONGSHAN JUN TAI IMPORT AND,VLADIVOSTOK 1813,MCB260714,CN,569.00,GB-185 GLUE,900,53316.00
23-May,IMCD PHILIPPINES CORPORATION,CHR HANSEN A/S,ACX PEARL,BRY0153587,DK,200.00,1 PLT. STC: RENNET (CHRISIN),"23,542.24",1253974.00
29-May,HENKEL PHILIPPINES INC.,HENKEL US OPERATIONS CORP,OOCL MEMPHIS 39,HOU094835,US,714.00,LOCTITE PE 3164 B PA5GAEN,"7,928.12",431198.00
