DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
2-May,SKL MAINTENANCE SYSTEMS CORP.,CHESTERTON INTL INC,MAERSK ALTAIR V.807,NYCMNLD10557,US,19.00,24 PCS. OF 860 MPG KIT,"6,188.88",341597.00
18-May,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MSC ANNA V. 814E,43693,DE,34000.00,2X20 CONTAINER STC: 1360 BAGS CTEX 06205 mod,"30,057.60",1638749.00
4-May,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,MOL COMMITMENT V.034W,MOLU26016577833,US,32500.00,2X20 CONTAINER STC: 20 PALLETS CTEX 06205 MO,"28,730.99",1547264.00
29-May,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING CO LTD,CALICANTO BRIDGE V. 257E,ONEYBKKU20872500,TH,23760.00,2X20RF COMPOUNDED PLASTIC,"92,346.25",4996682.00
4-May,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING CO LTD,CALICANTO BRIDGE V. 255E,ONEYBKKU13604700,TH,23760.00,2X20RF EPOXY ENCAPSULATION COMPOUND,"91,257.89",4937026.00
28-May,MEGASOFT HYGIENIC PRODUCTS INC,SHENZHEN GUI HAO CHENG TRADE,DONG FANG QIANG,1150,CN,42535.00,2X40 HQ STC ADHESIVE H4394,"54,538.88",2883050.00
18-May,UNSU CORPORATION,ROQUETTE ITALIA SPA,YM UTOPIA V.061E,M600257640,IT,48000.00,2X40 MODIFIED STARCH PXG,"86,360.62",4691863.00
9-May,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,MOL CONTRIBUTIION V. 030W,MOLU26016577854,US,57374.00,3X40 CONTAINER STC: 51 PALLETS CTEX 06214 MO,"48,994.05",2646610.00
21-May,MEGASOFT HYGIENIC PRODUCTS INC,SHENZHEN GUI HAO CHENG TRADE,MERATUS JAYAKARTA,386329,CN,63808.00,"3X40 HQ STC ADHESIVE TEP517, TEP868, TEP876,","79,100.69",4186566.00
4-May,PIONEER ADHESIVES INC,SOUDAL YAPI KIMYASALLARI SAN VE TIC,YM WORLD 016E,VISTEXP48673,TR,4640.00,4 PALLETS STC BOSS 252 ACRYLIC WHITE,"5,064.35",282110.00
15-May,FISCHER PH ASIA INC,KOREA RE & T CO. LTD,SITC SHIMIZU 1812S,HAMNL1387,KR,675.00,45 SETS CARBON PLATE ADHESIVE,"5,805.00",319774.00
28-May,3M PHILIPPINES INC,3M COMPANY,SINGAPORE 025S,OOLU2602483753,US,941.00,47 325 GALS NF NEUTRAL ADHESIVE 5 GALLON BOX,"8,167.25",449304.00
25-May,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MAREN MAERSK V. 815E,536147,DE,71975.00,4X20 CONTAINER STC: 2879 BAGS C TEX 06214 AC,"61,460.64",3338449.00
4-May,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,NYK IBIS V. 010E,NYKSHAMU06017400,DE,72000.00,4X20 CONTAINER STC: 2880 BAGS C TEX 06214 AC,"61,482.00",3302891.00
4-May,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,MOL COMMITMENT V.034W,MOLU26016577659,US,76500.00,4X40 CONTAINER STC: 68 PALLETS CTEX 06214 MO,"65,323.46",3526606.00
31-May,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,NYK APHRODITE V. 091W,ONEYRICU17680900,US,76500.00,4X40 CONTAINER STC: 68 PALLETS CTEX 06214 MO,"65,312.46",3565016.00
4-May,JEBSEN & JESSEN INGREDIENTS (P),VEDAN ( VIETNAM ) ENTERPRISE CORP L,ST BLUE 025E,OOLU2602794610,VN,90000.00,5 X 20 STC: MODIFIED STARCH [ACETYLATED DIST,"66,621.77",3480461.00
21-May,3M PHILIPPINES INC,3M COMPANY,APL DETROIT 193,APLU086729392,US,869.00,50 25 RLS 465 CLEAR 12X60 YD BULK,"7,214.74",397601.00
