DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
15-Aug,HENKEL PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES,AS SICILIA 18012S,UTCSE1807175,CN,8972.00,TECHNOMELT COOL 2222,"23,785.49",1267483.00
10-Aug,JOGEREY INTERNATIONAL TRADING,ENNIS MANUFACTURING SDN BHD,WAN HAI 308,0458A24565,MY,25000.00,THERMOPLASTIC ROAD MARKING,"13,250.00",712790.00
15-Aug,NEW FLAVOR HOUSE INC.,"SHANGHAI DONGSHENG BIO-TECH CO., LT",SITC SEMARANG V. 1817S,GXSAG18075199,CN,460.00,TRANSGLUTAMINASE TG-GB212,"14,910.80",796610.00
23-Aug,PRIMA TECH PHILS INC,PRIMA TECH CORPORATION,KALAMAZOO 0110S,CMRI18080009,KR,1.00,UV ADHESIVE 9482 9 20558 (PCB ASSY TOOLS),"5,252.70",296212.00
28-Aug,MAGNA PRIME CHEMICAL TECH. INC.,WACKER CHEMICALS KOREA INC,KALAMAZOO 00110S,88000,KR,18360.00,WACKER LC 1100 GHS GREY,"60,588.00",3249309.00
8-Aug,PHSI TRADING SALES INC.,RJ LONDON CHEMICALS IND. CO. L,ITAL MELODIA,EGLV050800701662,TH,18480.00,WALL PUTTY,"12,789.33",693548.00
14-Aug,PHSI TRADING SALES INC.,RJ LONDON CHEMICALS IND. CO. LTD,ITAL MODERNA,EGLV050800735125,TH,18480.00,WALL PUTTY,"12,397.66",669716.00
15-Aug,PHSI TRADING SALES INC.,RJ LONDON CHEMICALS IND. CO. LTD,ITAL MODERNA,EGLV050800546292,TH,14083.00,WALL PUTTY,"11,386.78",615964.00
7-Aug,GOLDEN OX CALIBER ENTERPRISE,R.J LONDON CHEMICALS INDUSTRIE,ITAL MELODIA 0837-130E,EGLV050800617556,TH,6610.00,WALL PUTTY,"5,656.51",307303.00
15-Aug,GOLDEN OX CALIBER ENTERPRISE,R.J LONDON CHEMICALS INDUSTRIE,ITAL MELODIA 0838-112E,EGLV050800772331,TH,7315.00,WALL PUTTY,"5,630.58",303816.00
31-Aug,PHSI TRADING SALES INC.,RJ LONDON CHEMICALS IND. CO. LTD,ITAL MASSIMA,EGLV050800749720,TH,14936.00,WALL PUTTY 5KGS,"11,647.66",635145.00
13-Aug,D'LUXE BAGS PHILIPPINES INC.,LUEN THAI FOOTWEAR MACAO COMME,ASIA IPSA VS079,CTIBSEMNL800309HK,HK,1800.00,WATER BASE GLUE SPRAY,"9,626.33",536824.00
29-Aug,INFINITY SPORTS INTERNATIONAL INC.,"JINYUN MULINSEN STATIONERY CO.,LTD",ISOBEL V. 1819,761925,CN,4818.00,WHITE CRAFT GLUE,"6,770.30",364146.00
15-Aug,INFINITY SPORTS INTERNATIONAL INC.,"JINYUN MULINSEN STATIONERY CO.,LTD",MAERSK WIESBADEN 1819,761894,CN,13250.00,WHITE GLUE,"13,557.46",724999.00
14-Aug,CORONATION PREMIUM MFG. INC.,DONGGUAN TIANYI SUPPLY CHAIN,HAYLING ISLAND V. 1815,MCB425636,CN,11525.00,ADHESIVES,"78,092.00",4668181.00
8-Aug,CORONATION PREMIUM MFG. INC.,DONGGUAN TIANYI SUPPLY CHAIN,HANSA ALTENBURG V. 023S,APLU033001243,CN,2163.00,ADHESIVES,"14,352.20",858585.00
14-Aug,CORONATION PREMIUM MFG. INC.,DONGGUAN TIANYI SUPPLY CHAIN,HANSA MEERSBURG V. 008S,APLU750871506,CN,323.00,ELASTIC TAPE/TWILL TAPE/HOT MELT ADHESIVE,"23,281.85",1386135.00
6-Aug,DESK TOP BAGS PHILIPPINES INC.,LUEN THAI FOOTWEAR MACAO COMMERCIAL,HANSA ALTENBURG V.023S,CTIBSESBC800316HK,HK,1135.00,WATER BASED GLUE,"6,024.97",337476.00
8-Aug,DOLE PHILIPPINES INC,HENKEL TECHONOLOGY CORPORATION,LEOPARD V031,PQCSE8077536,US,12000.00,DAREX,"113,266.59",6339492.00
