DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
24-Aug,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,EVER SMART V. 1042-091W,EGLV415810288269,US,57375.00,3X40 CONTAINER STC: 2295 BAGS C TEX 06214,"48,984.08",2729528.00
23-Aug,SCANDIA DESIGNS INC.,"STEINERT CO.,LTD",SITC LIAONING V. 1825N,ELCKBKK18080023,TH,3000.00,4 PALLETS STC: ADHESIVE,"6,914.14",394299.00
2-Aug,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES A/S,NYK CRANE,CPH32102700,DK,4000.00,4 PLTS STC 4 BB OF ENZYMES (ECLIPSE 150T),"60,448.14",3320916.00
10-Aug,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH (PTY) LTD.,CONTI CANBERRA,EGLV320830028238,ZA,86400.00,4 X 40  UNI-Q PREGELATINISED WAXY MAIZE STAR,"48,384.00",2696105.00
9-Aug,MEGAPAINT CORPORATION,AKZO NOBEL PAINTS VIETNAM LTD,LEDA TRADER V. 0036N,SGNMNLS1807047,VN,18000.00,500 PCS  DS PUTTY 40K/A502-29133,"5,609.60",306052.00
20-Aug,DEL MONTE PHILS INC. / PHILPACK,GENERAL STARCH LIMITED,NORDPANTHER 0XS1AN,A158A05255,TH,100000.00,5X20 STC 4000 PAPER BAGS MODIFIED TAPIOCA ST,"81,050.00",4368909.00
6-Aug,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO LT,FRED S018,TSN32101239,CN,6000.00,6 PACKAGES STC MEDLEY BL 91667020 S 321 T,"44,934.30",2399158.00
20-Aug,DEL MONTE PHILS INC. / PHILPACK,TATE & LYLE NETHERLANDS B V,THALASSA PATRIS 023 E,OOLU4026943990,NL,118500.00,6X20 STC 4740 BAGS RESISTAMYL 344 B0025KSTD,"98,927.40",5489237.00
14-Aug,JEBSEN & JESSEN INGREDIENTS (P) INC,VEDAN ( VIETNAM) ENTERPRISE CORP. L,MOUNT NICHOLSON,A598006778,VN,126000.00,7 X 20 STC MODIFIED STARCH [DISTARCH PHOSPHA,"85,072.07",4548619.00
6-Aug,EDWARD KELLER (PHILS.) INC.,"SMS CORPORATION CO., LTD.",SITC SHANGHAI 1817N,1MNL18070220,TH,7000.00,7PLTS STC 280BG SAUCETEC 637/KREATION TU10,"8,838.37",477270.00
